star,name,ra,dec,culture,total_culture_names
77070,Neck of the snake,15.737798000000002,6.425627,arabic,224
78401,Scorpion forehead,16.005557,-22.62171,arabic,224
78820,The scorpion,16.09062,-19.805453,arabic,224
79593,The preceding hand,16.239094,-3.694323,arabic,224
79882,The succeeding hand,16.305358,-4.692511,arabic,224
80112,The arteries,16.353143,-25.592796,arabic,224
80763,The scorpion heart,16.490128,-26.432002,arabic,224
80883,The elbow,16.515229,1.983923,arabic,224
83608,The dancer,17.088929,54.47004200000001,arabic,224
84012,The preceding,17.172968,-15.72491,arabic,224
84345,Head of the kneeling one,17.244127,14.390332999999998,arabic,224
85670,Head of the dragon,17.507213,52.301387,arabic,224
85693,The wrist of the kneeling one,17.512307999999994,26.110645,arabic,224
85696,The sting,17.512732,-37.295811,arabic,224
85822,Second one of the bier daughters,17.536918,86.58646,arabic,224
85927,The raised tail,17.560145000000002,-37.103821,arabic,224
86032,Head of the snake-charmer,17.582241,12.560035,arabic,224
86742,Dog of the shepherd,17.724543,4.567303,arabic,224
87585,The third incantation,17.892134,56.872643,arabic,224
87833,The first incantation,17.943437,51.488895,arabic,224
88635,Arrowhead,18.096803,-30.424091,arabic,224
89931,The middle one of the bow,18.3499,-29.828103,arabic,224
90185,The southern one of the bow,18.402868,-34.384615999999994,arabic,224
90496,The northern one of the bow,18.466179,-25.4217,arabic,224
91262,The swooping eagle,18.61564,38.783692,arabic,224
92420,The harp,18.834665,33.362667,arabic,224
92855,Second outgoing ostriches,18.92109,-26.296721999999995,arabic,224
92946,The fatty tail,18.936995,4.203595,arabic,224
93194,The tortoise,18.982395,32.689557,arabic,224
93506,The outgoing ostriches,19.043532,-29.880105,arabic,224
94376,One of the andiron's,19.209225,67.661541,arabic,224
95241,The heel-tendon,19.377303,-44.458965,arabic,224
95347,The archer knee,19.398103,-40.61594,arabic,224
95947,The hen-bill,19.512023000000006,27.959681,arabic,224
96757,The arrow,19.668275,18.01389,arabic,224
97278,One of the balance's,19.770994,10.613261,arabic,224
97649,The flying eagle,19.846388,8.868322000000003,arabic,224
98036,One of the balance's,19.921887,6.406763,arabic,224
100027,First lucky star of the slaughterer,20.29413,-12.508212,arabic,224
100345,Second lucky star of the slaughterer,20.350187,-14.781367,arabic,224
100453,The breast - one of the cavalry's,20.370473,40.256679,arabic,224
101769,One of the sitting's,20.625816,14.595087,arabic,224
101958,Second one of the sitting's,20.660635,15.912072,arabic,224
102098,Tail of the hen,20.690532,45.280338,arabic,224
102488,The wing- one of the cavalry's,20.770178,33.970256,arabic,224
102618,One of swallower luck,20.794598,-9.495776,arabic,224
104987,Part of the horse,21.263731,5.247845,arabic,224
105199,The right forearm,21.30963,62.585573,arabic,224
106032,Second of the Alfirk's,21.477662,70.560716,arabic,224
106278,One of the Luck of lucks,21.525982,-5.571172,arabic,224
106985,One of the Nashira luck,21.668181,-16.662308,arabic,224
107315,The horse nose,21.736433,9.875011,arabic,224
107556,Tail of the goat - Second Nashira luck,21.784011,-16.127285999999998,arabic,224
108917,The blaze on a horse's brow,22.063135,64.627971,arabic,224
109074,First lucky star of the king,22.096399,-0.319851,arabic,224
109068,Second lucky star of the livestock,22.094653,5.05853,arabic,224
109427,First lucky star of the livestock,22.169996,6.197865,arabic,224
110003,The hip,22.280565,-7.783289999999999,arabic,224
110395,First lucky star of the tents,22.360938,-1.387331,arabic,224
112029,First lucky star of the high-minded man,22.691033,10.831364,arabic,224
