star,name,ra,dec,culture,total_culture_names
11767,Altan Hadaas Golden Stake,2.52975,89.26410899999998,mongolian,9
65477,Recovery Star,13.420413,54.987958,mongolian,9
67301,7.Horse,13.792354,49.313265,mongolian,9
65378,6.Snake,13.398747,54.925362,mongolian,9
62956,5.Dragon / 12.Pig,12.900472,55.959821,mongolian,9
59774,4.Rabbit / 11.Dog,12.257086,57.032617,mongolian,9
58001,3.Tiger / 10.Rooster,11.897168,53.69476,mongolian,9
53910,2.Ox / 9.Monkey,11.030677,56.382427,mongolian,9
54061,1.Rat / 8.Sheep/Goat,11.062155,61.75103299999999,mongolian,9
