star,name,ra,dec,culture,total_culture_names
62956,Alioth,12.900472,55.959821,romanian,230
63125,Cor Caroli,12.933807,38.31838,romanian,230
63608,Vindemiatrix,13.036278,10.95915,romanian,230
65378,Mizar,13.398747,54.925362,romanian,230
65474,Spica,13.419883,-11.161322,romanian,230
65477,The Little Bitch,13.420413,54.987958,romanian,230
67301,Alkaid,13.792354,49.313265,romanian,230
67927,Muphrid,13.911411,18.397717,romanian,230
68702,Hadar,14.063729,-60.373039,romanian,230
68756,Thuban,14.073165,64.37585,romanian,230
68933,Menkent,14.111395000000002,-36.369954,romanian,230
69673,Arcturus,14.261029999999998,19.18241,romanian,230
69701,Syrma,14.266908,-6.000547,romanian,230
70890,Proxima,14.495985,-62.679485,romanian,230
71075,Seginus,14.534636,38.308253,romanian,230
71683,Rigil Kent,14.660765,-60.833976,romanian,230
72105,Izar,14.749784,27.074222,romanian,230
72487,Merga,14.821853,46.116205,romanian,230
72607,Kocab,14.845104999999998,74.155505,romanian,230
72622,Zubenelgenubi,14.847976999999998,-16.041778,romanian,230
73555,Nekkar,15.032436,40.390566,romanian,230
74785,Zubeneschamali,15.283449,-9.382917,romanian,230
75097,Pherkad,15.345482999999998,71.834016,romanian,230
75411,Alkalurops,15.408181,37.377167,romanian,230
75458,Edasich,15.415494,58.966065,romanian,230
75695,Nusakan,15.463818,29.105703,romanian,230
76267,Alphekka,15.578128,26.714693,romanian,230
77070,Unukalhai,15.737798000000002,6.425627,romanian,230
78401,Dschubba,16.005557,-22.62171,romanian,230
78820,Acrab,16.09062,-19.805453,romanian,230
79043,Marsic,16.134591,17.046979999999998,romanian,230
79593,Yed Prior,16.239094,-3.694323,romanian,230
79882,Yed Posterior,16.305358,-4.692511,romanian,230
80112,Al Niyat,16.353143,-25.592796,romanian,230
80463,Cujam,16.423598000000002,14.033270000000002,romanian,230
80763,Antares,16.490128,-26.432002,romanian,230
80816,Kornephoros,16.503667999999998,21.489613,romanian,230
80883,Marfik,16.515229,1.983923,romanian,230
82273,Atria,16.811076999999994,-69.027715,romanian,230
83608,Alrakis,17.088929,54.47004200000001,romanian,230
84012,Sabik,17.172968,-15.72491,romanian,230
84345,Rasalgethi,17.244127,14.390332999999998,romanian,230
85670,Rastaban,17.507213,52.301387,romanian,230
85693,Maasym,17.512307999999994,26.110645,romanian,230
85696,Lesath,17.512732,-37.295811,romanian,230
85822,Yildun,17.536918,86.58646,romanian,230
85927,Shaula,17.560145000000002,-37.103821,romanian,230
86032,Rasalhague,17.582241,12.560035,romanian,230
86228,Girtab,17.621979999999994,-42.997824,romanian,230
86742,Cebalrai,17.724543,4.567303,romanian,230
87585,Grumium,17.892134,56.872643,romanian,230
87833,Etamin,17.943437,51.488895,romanian,230
87937,Barnard's Star,17.963472,4.693388,romanian,230
88635,Alnasl,18.096803,-30.424091,romanian,230
89931,Kaus Media,18.3499,-29.828103,romanian,230
90185,Kaus Australis,18.402868,-34.384615999999994,romanian,230
90496,Kaus Borealis,18.466179,-25.4217,romanian,230
91262,The Shepherd The Stars Queen,18.61564,38.783692,romanian,230
92420,Sheliak,18.834665,33.362667,romanian,230
92855,Nunki,18.92109,-26.296721999999995,romanian,230
92946,Alya,18.936995,4.203595,romanian,230
93194,Sulafat,18.982395,32.689557,romanian,230
93506,Ascella,19.043532,-29.880105,romanian,230
94376,Altais,19.209225,67.661541,romanian,230
95241,Arkab,19.377303,-44.458965,romanian,230
95347,Rukbat,19.398103,-40.61594,romanian,230
95947,Albireo,19.512023000000006,27.959681,romanian,230
96295,Campbell's Star,19.579231,30.516371000000003,romanian,230
96757,Sham,19.668275,18.01389,romanian,230
97278,Tarazed,19.770994,10.613261,romanian,230
97649,Altair,19.846388,8.868322000000003,romanian,230
98036,Alshain,19.921887,6.406763,romanian,230
100027,Algedi,20.29413,-12.508212,romanian,230
100345,Dabih,20.350187,-14.781367,romanian,230
100453,Sadr,20.370473,40.256679,romanian,230
100751,Peacock,20.427459,-56.73509,romanian,230
101769,Rotanev,20.625816,14.595087,romanian,230
101958,Sualocin,20.660635,15.912072,romanian,230
102098,Deneb,20.690532,45.280338,romanian,230
102488,Gienah,20.770178,33.970256,romanian,230
102618,Albali,20.794598,-9.495776,romanian,230
104987,Kitalpha,21.263731,5.247845,romanian,230
105199,Alderamin,21.30963,62.585573,romanian,230
106032,Alfirk,21.477662,70.560716,romanian,230
106278,Sadalsuud,21.525982,-5.571172,romanian,230
106985,Nashira,21.668181,-16.662308,romanian,230
107136,Azelfafage,21.701573,51.189622,romanian,230
107259,The Garnet Star,21.725127,58.780046,romanian,230
107315,Enif,21.736433,9.875011,romanian,230
107556,Deneb Algedi,21.784011,-16.127285999999998,romanian,230
108917,Kurhah,22.063135,64.627971,romanian,230
109074,Sadalmelik,22.096399,-0.319851,romanian,230
109268,Alnair,22.137209,-46.960975,romanian,230
109427,Biham,22.169996,6.197865,romanian,230
110003,Ancha,22.280565,-7.783289999999999,romanian,230
110395,Sadachbia,22.360938,-1.387331,romanian,230
110893,Kruger 60,22.466642,57.695875,romanian,230
111710,Situla,22.629273,-4.228056,romanian,230
112029,Homan,22.691033,10.831364,romanian,230
112158,Matar,22.716704,30.221245,romanian,230
112247,Babcock's Star,22.735418,55.589226,romanian,230
112748,Sadalbari,22.833385,24.601579,romanian,230
113136,Skat,22.910837,-15.82082,romanian,230
113368,Fomalhaut,22.960838,-29.622236,romanian,230
113881,Scheat,23.062901,28.082789,romanian,230
113963,Markab,23.079348,15.205264,romanian,230
116727,Errai,23.65582,77.632276,romanian,230
