ast_ID,vals,ra,dec
41,2,"18.529287, 18.448336, 18.448336, 18.480505","-45.914814, -48.117243, -48.117243, -49.070588"
42,1,"18.449561, 18.449561","-45.968459, -45.968459"
43,8,"19.048472, 19.10415, 19.10415, 19.028008, 19.028008, 18.951019, 18.951019, 18.786242, 18.786242, 18.791375, 18.791375, 18.725348, 18.725348, 18.704563, 18.704563, 18.586785","-3.698987, -4.882554, -4.882554, -5.739115, -5.739115, -5.846314, -5.846314, -4.7478669999999985, -4.7478669999999985, -5.705147, -5.705147, -8.275215, -8.275215, -9.052549, -9.052549, -8.244073"
44,4,"19.362117, 19.361211, 19.361211, 19.293911, 19.162731, 19.07805, 19.07805, 18.962167","-15.955018, -17.847197, -17.847197, -18.952908, -21.023615, -21.741496, -21.741496, -21.106654"
45,1,"19.614847, 19.585349","-7.027477, -10.560444"
46,5,"18.229392, 18.466179, 18.466179, 18.76094, 18.76094, 18.92109, 18.92109, 19.11567, 19.11567, 19.043532","-21.058834, -25.4217, -25.4217, -26.990778, -26.990778, -26.296721999999995, -26.296721999999995, -27.670423, -27.670423, -29.880105"
47,1,"19.073627, 18.972579","-31.047079, -31.035975"
48,3,"19.708648, 19.772707, 19.772707, 19.611786, 19.611786, 19.421247","-16.123995999999998, -19.761113, -19.761113, -24.883623, -24.883623, -24.508575"
49,1,"18.300886, 18.300886","-27.042641, -27.042641"
50,13,"18.938044, 18.814024, 18.814024, 18.659768, 18.659768, 18.558383, 18.558383, 18.539257, 18.539257, 18.729706, 18.729706, 18.944582, 18.944582, 18.978721, 18.978721, 19.106971, 19.106971, 19.157869, 19.157869, 19.167154, 19.167154, 19.139156, 19.139156, 19.051907, 19.051907, 18.938044","-42.710676, -43.680047, -43.680047, -43.185878, -43.185878, -42.31251, -42.31251, -39.704001, -39.704001, -38.323441, -38.323441, -37.343241, -37.343241, -37.107357, -37.107357, -37.063437, -37.063437, -37.904474, -37.904474, -39.34079600000001, -39.34079600000001, -40.496703, -40.496703, -42.095105, -42.095105, -42.710676"
51,3,"20.397671, 19.938438, 19.938438, 19.737943, 19.737943, 18.922249","32.190172, 35.083424, 35.083424, 37.354355, 37.354355, 43.946088"
52,2,"18.738984, 18.61564, 18.61564, 18.746209","39.670123, 38.783692, 38.783692, 37.60511500000001"
53,3,"18.982395, 18.834665, 18.834665, 18.908412, 18.908412, 19.229302","32.689557, 33.362667, 33.362667, 36.898613, 36.898613, 39.145968"
54,8,"20.237949, 20.058338, 20.058338, 20.068399, 20.068399, 20.000919, 20.000919, 20.054555, 20.054555, 19.979285, 19.979285, 19.789795, 19.789795, 19.68415, 19.789795, 19.668275","15.197609, 16.031254999999998, 16.031254999999998, 17.070173, 17.070173, 17.516510999999998, 17.516510999999998, 18.500993, 18.500993, 19.492148, 19.492148, 18.534286, 18.534286, 17.476041, 18.534286, 18.01389"
55,2,"19.770994, 19.846388, 19.846388, 19.921887","10.613261, 8.868322000000003, 8.868322000000003, 6.406763"
56,2,"19.850456, 19.904134, 19.904134, 20.068976","10.415727, 8.461453, 8.461453, 7.277966"
57,6,"19.568153, 19.424972, 19.653234, 19.424972, 19.424972, 19.441969, 19.441969, 19.612022, 19.612022, 19.874547, 19.874547, 20.188413","7.378941, 3.114775, 5.397773, 3.114775, 3.114775, 0.33857, 0.33857, -1.286601, -1.286601, 1.005661, 1.005661, -0.8214610000000001"
58,6,"20.300904, 20.350187, 20.350187, 20.481004, 20.481004, 20.498307, 20.498307, 20.455336, 20.455336, 20.350187, 20.350187, 20.344393","-12.544852, -14.781367, -14.781367, -17.813686999999994, -17.813686999999994, -18.583178, -18.583178, -18.211721, -18.211721, -14.781367, -14.781367, -12.75908"
59,2,"20.654533, 20.6757, 20.6757, 20.667485","-14.95476, -16.12418, -16.12418, -18.138659"
60,6,"18.710543, 18.853348, 18.853348, 18.542923, 18.398507, 18.853348, 18.853348, 18.625974, 18.625974, 18.433069, 18.231545, 18.625974","55.53945699999999, 59.388351, 59.388351, 57.045599, 58.800736, 59.388351, 59.388351, 62.526591, 62.526591, 65.56348, 64.397287, 62.526591"
61,3,"19.28504, 19.495098, 19.495098, 19.607372, 19.607372, 18.887096","53.368459, 51.729779, 51.729779, 50.221103, 50.221103, 50.708221"
62,9,"21.215607, 21.298632, 21.298632, 21.246517, 21.246517, 20.952893, 20.952893, 20.690532, 20.690532, 20.227196, 20.227196, 19.749574, 19.749574, 20.370473, 20.370473, 20.770178, 20.770178, 21.215607","30.226916, 34.896898, 34.896898, 38.045317, 38.045317, 41.167136, 41.167136, 45.280338, 45.280338, 46.741329, 46.741329, 45.13081, 45.13081, 40.256679, 40.256679, 33.970256, 33.970256, 30.226916"
63,5,"20.77764, 20.660635, 20.660635, 20.625816, 20.625816, 20.724315, 20.724315, 20.77764, 20.625816, 20.588482","16.124295999999998, 15.912072, 15.912072, 14.595087, 14.595087, 15.074581, 15.074581, 16.124295999999998, 14.595087, 14.674213"
64,5,"20.926858, 20.565845, 20.565845, 20.630311, 20.630311, 20.652161, 20.652161, 20.553547, 20.553547, 20.565845","13.721536, 13.027255, 13.027255, 11.377676, 11.377676, 10.086203, 10.086203, 11.303263, 11.303263, 13.027255"
65,3,"20.656914, 20.638967, 20.638967, 20.61212, 20.61212, 20.494167","0.486445, -1.105121, -1.105121, -2.549957, -2.549957, -2.8855310000000003"
66,3,"20.795621, 20.869082, 20.869082, 20.877565, 20.877565, 20.794598","-5.027701, -5.507059, -5.507059, -8.983317999999997, -8.983317999999997, -9.495776"
67,1,"22.867225, 22.675233","43.312417, 44.276305"
68,1,"22.734856, 22.508128","41.819235, 43.123376"
69,1,"22.654355, 22.231312","39.050269, 39.714927"
70,1,"21.241337, 21.172361","10.006981, 10.131579"
71,1,"21.263731, 21.525982","5.247845, -5.571172"
72,1,"21.629197, 21.750071","-7.854201, -9.082428"
