ast_ID,vals,ra,dec
1,23,"13.819429, 13.897507, 13.897507, 13.398747, 13.398747, 13.291754999999998, 13.291754999999998, 12.625697, 13.291754999999998, 13.304034, 13.304034, 13.792354, 13.792354, 13.819429, 12.625697, 12.900472, 12.900472, 14.073165, 12.900472, 12.257086, 12.257086, 11.062155, 11.062155, 9.525453, 9.525453, 9.181941, 9.181941, 8.67024, 11.062155, 11.030677, 11.030677, 10.510461, 10.510461, 9.868433, 9.868433, 9.580405, 11.030677, 11.897168, 11.897168, 12.400414, 12.400414, 12.625697, 12.400414, 12.752174, 12.752174, 12.933807","51.483362, 53.72867700000001, 53.72867700000001, 54.925362, 54.925362, 52.20747100000001, 52.20747100000001, 53.753177, 52.20747100000001, 49.682062, 49.682062, 49.313265, 49.313265, 51.483362, 53.753177, 55.959821, 55.959821, 64.37585, 55.959821, 57.032617, 57.032617, 61.75103299999999, 61.75103299999999, 63.061861, 63.061861, 63.513633, 63.513633, 64.327936, 61.75103299999999, 56.382427, 56.382427, 55.980536, 55.980536, 54.06433199999999, 54.06433199999999, 52.051477, 56.382427, 53.69476, 53.69476, 51.562257, 51.562257, 53.753177, 51.562257, 45.440256, 45.440256, 38.31838"
2,17,"2.844945, 2.146276, 2.146276, 1.906584, 1.906584, 1.708969, 1.708969, 2.032644, 1.906584, 2.229989, 1.708969, 0.945143, 0.945143, 0.152887, 0.152887, 22.486183, 0.152887, 0.616188, 0.616188, 23.626056, 0.616188, 1.430216, 1.430216, 2.146276, 2.229989, 2.265387, 2.265387, 2.622933, 2.622933, 2.484437, 2.484437, 2.126074, 2.126074, 2.229989","55.895496, 60.95492, 60.95492, 63.670101, 63.670101, 66.107959, 66.107959, 70.90701999999997, 63.670101, 64.855011, 66.107959, 60.71674, 60.71674, 59.14978000000001, 59.14978000000001, 58.415198, 59.14978000000001, 53.896909, 53.896909, 46.458152, 53.896909, 60.235283, 60.235283, 60.95492, 64.855011, 63.236301, 63.236301, 63.881416, 63.881416, 67.402474, 67.402474, 66.989343, 66.989343, 64.855011"
3,19,"12.694345, 13.165831, 13.165831, 12.654102, 12.654102, 12.497739, 12.497739, 12.573121, 12.573121, 12.844769, 12.573121, 12.168746, 12.168746, 12.140225, 12.140225, 11.881813, 12.168746, 12.263437, 12.263437, 12.308922, 12.308922, 11.611365, 12.308922, 12.465415, 12.465415, 12.654102, 12.465415, 12.481015, 12.481015, 12.298164, 12.298164, 12.278914, 12.278914, 12.618563, 12.618563, 12.609448, 12.609448, 12.481015","-1.449375, -5.53901, -5.53901, -7.995564, -7.995564, -16.515432, -16.515432, -23.396759, -23.396759, -33.999302, -23.396759, -22.619766, -22.619766, -24.728875, -24.728875, -33.908124, -22.619766, -17.541929, -17.541929, -8.904421000000003, -8.904421000000003, -9.802247, -8.904421000000003, -8.677994, -8.677994, -7.995564, -8.677994, -6.530283, -6.530283, -6.4310800000000015, -6.4310800000000015, -2.739549, -2.739549, -2.322103, -2.322103, -6.065551, -6.065551, -6.530283"
4,18,"2.736634, 2.103169, 2.103169, 1.633205, 2.736634, 2.311762, 2.311762, 2.064984, 1.633205, 1.727675, 1.727675, 2.038359, 1.633205, 0.945885, 0.945885, 0.28486300000000003, 0.945885, 0.61468, 0.61468, 0.024777, 0.024777, 23.062901, 23.062901, 0.139791, 0.139791, 0.655462, 0.655462, 1.162194, 1.162194, 1.194342, 1.162194, 2.064984, 2.064984, 2.1590580000000004, 2.1590580000000004, 2.288573","49.228448, 49.156332, 49.156332, 48.628213, 49.228448, 45.639706, 45.639706, 42.329725, 48.628213, 50.688732, 50.688732, 54.487541, 48.628213, 38.499345, 38.499345, 38.681636, 38.499345, 33.719344, 33.719344, 30.735785, 30.735785, 28.082789, 28.082789, 29.090432, 29.090432, 30.861024, 30.861024, 35.620558, 35.620558, 30.089638, 35.620558, 42.329725, 42.329725, 34.987297, 34.987297, 33.847194"
5,7,"3.819373, 3.819782, 3.819782, 3.79141, 3.79141, 3.819373, 3.79141, 3.772104, 3.772104, 3.747927, 3.747927, 3.75347, 3.75347, 3.79141","24.053415, 24.136712, 24.136712, 24.105137, 24.105137, 24.053415, 24.105137, 23.948358, 23.948358, 24.113339, 24.113339, 24.467278, 24.467278, 24.105137"
6,24,"16.383182, 16.508338000000002, 16.508338000000002, 16.51226, 16.51226, 16.239094, 16.239094, 16.231645999999998, 16.231645999999998, 16.383182, 16.383182, 16.33344, 16.33344, 15.592104999999998, 15.592104999999998, 15.897093, 15.897093, 15.617070000000002, 15.617070000000002, 15.36344, 16.005557, 16.005557, 15.980865, 15.980865, 15.948077, 15.948077, 15.849316, 15.849316, 16.002036, 15.948077, 16.598043, 16.598043, 16.83608, 16.83608, 16.864508999999998, 16.598043, 16.535611, 16.535611, 16.518991, 16.518991, 16.619316, 16.619316, 17.172968, 16.619316, 16.33344","-7.208936, -7.514450999999998, -7.514450999999998, -4.082578, -4.082578, -3.694323, -3.694323, -6.908617, -6.908617, -7.208936, -7.208936, -9.850982, -9.850982, -14.789537, -14.789537, -16.729293, -16.729293, -28.135079, -28.135079, -36.261376, -22.62171, -22.62171, -26.114105, -26.114105, -29.214073, -29.214073, -33.627165000000005, -33.627165000000005, -38.396706, -29.214073, -28.216016, -28.216016, -34.293232, -34.293232, -38.04738, -28.216016, -21.46639, -21.46639, -16.612733, -16.612733, -10.56709, -10.56709, -15.72491, -10.56709, -9.850982"
7,3,"17.560145000000002, 17.708132, 17.708132, 17.793078, 17.708132, 17.512732","-37.103821, -39.029983, -39.029983, -40.126997, -39.029983, -37.295811"
8,20,"4.939521, 4.830669, 4.830669, 4.853434, 4.853434, 4.904193, 6.039722, 5.919529, 5.919529, 6.039722, 6.039722, 5.952385, 5.952385, 6.0568800000000005, 6.0568800000000005, 6.216499, 6.216499, 6.1463980000000005, 6.1463980000000005, 6.039722, 5.919529, 5.5856330000000005, 5.919529, 5.418851, 5.919529, 5.533445, 5.533445, 5.407949, 5.407949, 5.242298, 5.533445, 5.603559, 5.603559, 5.679313, 5.679313, 5.919529, 5.679313, 5.584078, 5.584078, 5.795941","13.514466, 6.961276, 6.961276, 5.605104, 5.605104, 2.440672, 9.647276, 7.407063000000001, 7.407063000000001, 9.647276, 9.647276, 10.229365, 10.229365, 11.681065, 11.681065, 10.287415, 10.287415, 8.669432, 8.669432, 9.647276, 7.407063000000001, 9.934158, 7.407063000000001, 6.349702, 7.407063000000001, -0.299092, -0.299092, -2.397146, -2.397146, -8.20164, -0.299092, -1.20192, -1.20192, -1.942572, -1.942572, 7.407063000000001, -1.942572, -6.002027, -6.002027, -9.669605"
