ast_ID,vals,ra,dec
Pur,16,"3.9022, 3.98275, 3.98275, 4.248143, 4.248143, 4.6115080000000015, 5.032815, 4.715089, 4.715089, 4.248143, 4.715089, 5.27815, 5.337409, 5.318995, 5.10858, 5.337409, 5.337409, 5.318995, 5.318995, 5.380644, 5.337409, 5.380644, 5.10858, 5.041301, 5.041301, 4.6115080000000015, 4.6115080000000015, 4.248143, 5.032815, 5.513514, 5.380644, 5.513514","31.883635, 35.791033, 35.791033, 40.483671, 40.483671, 41.264808, 43.823308, 43.365138, 43.365138, 40.483671, 43.365138, 45.997991, 41.086212, 40.099051, 41.234474, 41.086212, 41.086212, 40.099051, 40.099051, 41.02926, 41.086212, 41.02926, 41.234474, 41.075837, 41.075837, 41.264808, 41.264808, 40.483671, 43.823308, 41.461994, 41.02926, 41.461994"
Tbg,9,"13.370855, 13.197904, 13.197904, 13.119646, 13.119646, 12.861645, 12.861645, 12.821516, 12.821516, 12.449805, 12.449805, 12.375087, 13.197904, 13.202336, 13.202336, 13.106278, 13.106278, 12.585489","30.291938, 27.878183, 27.878183, 27.624741, 27.624741, 27.540712, 27.540712, 27.552379, 27.552379, 26.825699, 26.825699, 25.84616, 27.878183, 24.258027, 24.258027, 22.616187, 22.616187, 18.377058"
Tch,1,"15.20476, 15.20476","-52.099247, -52.099247"
Tot,6,"19.568153, 19.761096, 19.761096, 19.904134, 19.904134, 20.016383, 20.016383, 20.130658, 19.770994, 19.846388, 19.846388, 19.921887","7.378941, 7.613158, 7.613158, 8.461453, 8.461453, 8.557735000000001, 8.557735000000001, 9.399833, 10.613261, 8.868322000000003, 8.868322000000003, 6.406763"
Unu,23,"6.902209, 6.95942, 6.95942, 6.976639, 6.976639, 7.018317999999999, 7.018317999999999, 7.06192, 7.06192, 7.1145770000000015, 7.1145770000000015, 7.161950999999998, 7.161950999999998, 7.203392999999998, 7.203392999999998, 7.237559, 7.237559, 7.246849, 7.246849, 7.247546000000002, 7.247546000000002, 7.226792, 7.226792, 7.206716, 7.206716, 7.172034, 7.172034, 7.116664, 7.018317999999999, 7.02048, 7.02048, 6.983498, 6.983498, 6.9687649999999985, 6.9687649999999985, 6.961842, 6.9687649999999985, 6.883417, 6.961842, 7.028652, 7.028652, 7.011809, 7.011809, 6.961842, 7.028652, 7.02048","-24.184211, -24.630841, -24.630841, -25.414157, -25.414157, -25.215634, -25.215634, -25.083914, -25.083914, -24.960572, -24.960572, -25.231034, -25.231034, -25.942588, -25.942588, -26.352507, -26.352507, -26.772667, -26.772667, -27.037996000000003, -27.037996000000003, -27.35636, -27.35636, -27.474758, -27.474758, -27.49152, -27.49152, -26.656754, -25.215634, -25.948716, -25.948716, -26.474425, -26.474425, -27.164381, -27.164381, -27.537505, -27.164381, -26.957632, -27.537505, -27.93483, -27.93483, -28.489574, -28.489574, -27.537505, -27.93483, -25.948716"
War,4,"6.764922, 6.58294, 6.58294, 6.399195, 6.399195, 6.312996, 6.312996, 6.335018","-52.409691, -52.975607, -52.975607, -52.69566, -52.69566, -50.3591, -50.3591, -48.741093"
Wjl,6,"7.740792999999999, 7.891616, 7.740792999999999, 7.598708, 7.891616, 7.721867, 7.598708, 7.721867, 7.721867, 7.489012, 7.489012, 7.409292","24.397993, 26.765783000000006, 24.397993, 26.895741, 26.765783000000006, 28.88351, 26.895741, 28.88351, 28.88351, 28.118275, 28.118275, 27.637857"
Wkr,1,"13.828564000000002, 13.828564000000002","21.264105, 21.264105"
Won,7,"18.938044, 19.051907, 19.051907, 19.139156, 19.139156, 19.167154, 19.167154, 19.157869, 19.157869, 19.106971, 19.106971, 18.978721, 18.978721, 18.729706","-42.710676, -42.095105, -42.095105, -40.496703, -40.496703, -39.34079600000001, -39.34079600000001, -37.904474, -37.904474, -37.063437, -37.063437, -37.107357, -37.107357, -38.323441"
Wpl,4,"6.378329, 6.6113990000000005, 6.6113990000000005, 6.752481, 6.752481, 6.935617999999999, 6.935617999999999, 7.062637","-17.955918, -19.255879, -19.255879, -16.716116, -16.716116, -17.054242000000002, -17.054242000000002, -15.633285999999998"
Wrn,1,"18.3499, 18.3499","-29.828103, -29.828103"
Ydk,4,"1.61244, 1.587465, 1.587465, 1.628556, 1.628556, 1.652106, 1.652106, 1.663169","-58.270966, -58.139475, -58.139475, -57.236757, -57.236757, -56.429373, -56.429373, -56.1964"
Yur,8,"7.485195, 7.5766339999999985, 7.585777999999999, 7.5766339999999985, 7.5766339999999985, 7.642460000000002, 7.5766339999999985, 7.8506550000000015, 7.642460000000002, 7.652760000000002, 7.652760000000002, 7.7121, 7.7121, 7.791757, 7.791757, 7.8506550000000015","31.78455, 31.888276, 30.960924, 31.888276, 31.888276, 35.04855, 31.888276, 33.233653000000004, 35.04855, 34.584346000000004, 34.584346000000004, 34.000218, 34.000218, 33.415696999999994, 33.415696999999994, 33.233653000000004"
