ast_ID,vals,ra,dec
20,7,"18.982395, 18.908412, 18.908412, 18.746209, 18.746209, 18.834665, 18.738984, 18.746209, 18.746209, 18.61564, 18.61564, 18.738984, 19.121703, 18.908412","32.689557, 36.898613, 36.898613, 37.60511500000001, 37.60511500000001, 33.362667, 39.670123, 37.60511500000001, 37.60511500000001, 38.783692, 38.783692, 39.670123, 36.100157, 36.898613"
21,10,"16.503667999999998, 16.688113, 16.688113, 16.714933, 16.714933, 17.159238000000002, 17.159238000000002, 17.250788, 17.250788, 17.004827, 17.004827, 16.862573, 16.862573, 16.503667999999998, 16.503667999999998, 16.365338, 17.250531, 17.004827, 17.774319000000006, 17.250788","21.489613, 31.602726, 31.602726, 38.922254, 38.922254, 40.777033, 40.777033, 36.809162, 36.809162, 30.926405, 30.926405, 24.656433, 24.656433, 21.489613, 21.489613, 19.15313, 24.839204, 30.926405, 27.720676, 36.809162"
22,1,"18.61564, 18.61564","38.783692, 38.783692"
23,1,"19.229302, 19.272804","39.145968, 38.133731"
24,13,"21.56635, 22.180908, 21.56635, 22.26616, 22.26616, 20.770178, 20.770178, 20.370473, 20.370473, 20.690532, 20.690532, 21.56635, 22.231312, 23.032017, 23.032017, 23.626056, 20.770178, 21.215607, 20.370473, 19.938438, 19.938438, 20.018346, 20.018346, 20.397671, 20.018346, 20.489926","45.591837, 58.201261, 45.591837, 37.748737, 37.748737, 33.970256, 33.970256, 40.256679, 40.256679, 45.280338, 45.280338, 45.591837, 39.714927, 42.325979, 42.325979, 46.458152, 33.970256, 30.226916, 40.256679, 35.083424, 35.083424, 27.753573, 27.753573, 32.190172, 27.753573, 30.368555"
25,5,"19.68415, 19.668275, 19.668275, 19.891026, 19.891026, 20.254415, 20.254415, 20.642038, 20.642038, 19.68415","17.476041, 18.01389, 18.01389, 24.079614000000007, 24.079614000000007, 25.591957, 25.591957, 21.201174, 21.201174, 17.476041"
26,4,"21.30963, 22.82802, 22.82802, 23.65582, 23.65582, 21.477662, 21.477662, 21.30963","62.585573, 66.200408, 66.200408, 77.632276, 77.632276, 70.560716, 70.560716, 62.585573"
27,3,"1.633205, 1.613299, 1.613299, 23.63561, 23.63561, 1.633205","48.628213, 41.405459, 41.405459, 43.268073, 43.268073, 48.628213"
30,4,"0.139791, 0.220598, 0.220598, 23.079348, 23.079348, 23.062901, 23.062901, 0.139791","29.090432, 15.183596, 15.183596, 15.205264, 15.205264, 28.082789, 28.082789, 29.090432"
31,15,"1.44491, 1.524725, 1.524725, 1.756564, 1.756564, 2.034117, 2.034117, 1.503087, 1.503087, 1.049058, 1.049058, 0.811373, 1.1431639999999998, 1.40039, 1.40039, 2.034117, 2.034117, 3.193822, 2.721678, 2.658044, 2.658044, 2.53595, 2.53595, 2.36573, 2.36573, 2.525027, 2.525027, 2.721678, 2.36573, 2.034117","19.240422, 15.345823, 15.345823, 9.157736, 9.157736, 2.763759, 2.763759, 6.14382, 6.14382, 7.890135000000001, 7.890135000000001, 7.585078999999999, -10.182264, -8.183257000000001, -8.183257000000001, 2.763759, 2.763759, 19.726677, 3.235818, 0.328511, 0.328511, -1.0348959999999998, -1.0348959999999998, 0.395675, 0.395675, 2.267182, 2.267182, 3.235818, 0.395675, 2.763759"
32,8,"0.788981, 1.324443, 1.324443, 1.194342, 1.194342, 0.945885, 0.945885, 1.162194, 0.945885, 0.830234, 0.830234, 0.68533, 0.68533, 0.655462, 0.61468, 0.788981","24.267178, 27.264059000000003, 27.264059000000003, 30.089638, 30.089638, 38.499345, 38.499345, 35.620558, 38.499345, 41.078911, 41.078911, 39.458664, 39.458664, 30.861024, 33.719344, 24.267178"
33,4,"1.910668, 2.119555, 2.119555, 1.884696, 1.884696, 2.1590580000000004, 2.1590580000000004, 2.833063","20.808035, 23.462423, 23.462423, 29.578829, 29.578829, 34.987297, 34.987297, 27.260507"
34,5,"3.819373, 3.79141, 3.79141, 3.772104, 3.772104, 3.747927, 3.747927, 3.763779, 3.763779, 3.79141","24.053415, 24.105137, 24.105137, 23.948358, 23.948358, 24.113339, 24.113339, 24.367748, 24.367748, 24.105137"
35,9,"4.598677, 4.477705, 4.477705, 4.329889, 4.329889, 4.382247, 4.382247, 4.476943, 4.476943, 5.438198000000001, 4.598677, 5.627413, 4.329889, 4.0113379999999985, 3.79141, 4.078253, 4.078253, 4.382247","16.509301, 15.870883, 15.870883, 15.627642000000002, 15.627642000000002, 17.542514, 17.542514, 19.180431, 19.180431, 28.60745, 16.509301, 21.142549, 15.627642000000002, 12.490347, 24.105137, 22.081926, 22.081926, 17.542514"
36,4,"4.598677, 4.477705, 4.477705, 4.329889, 4.329889, 4.382247, 4.382247, 4.476943","16.509301, 15.870883, 15.870883, 15.627642000000002, 15.627642000000002, 17.542514, 17.542514, 19.180431"
37,14,"6.3826730000000005, 6.039722, 6.247961, 6.039722, 6.039722, 6.00093, 6.039722, 5.919529, 5.795941, 5.679313, 5.679313, 5.919529, 5.418851, 5.533445, 5.533445, 5.242298, 5.533445, 5.603559, 5.603559, 5.679313, 5.5856330000000005, 5.615108, 5.615108, 5.919529, 5.615108, 5.418851, 5.418851, 4.904193","22.513586, 9.647276, 22.506799, 9.647276, 9.647276, -3.074253, 9.647276, 7.407063000000001, -9.669605, -1.942572, -1.942572, 7.407063000000001, 6.349702, -0.299092, -0.299092, -8.20164, -0.299092, -1.20192, -1.20192, -1.942572, 9.934158, 9.290673, 9.290673, 7.407063000000001, 9.290673, 6.349702, 6.349702, 2.440672"
38,1,"4.830669, 4.853434","6.961276, 5.605104"
39,18,"6.10259, 5.940082, 5.940082, 5.782595, 5.782595, 5.545504, 5.545504, 5.470756, 5.470756, 5.091018, 5.091018, 5.215528, 5.215528, 5.545504, 5.215528, 5.220522, 5.220522, 5.204973000000002, 5.220522, 5.326257, 5.326257, 5.39171, 5.326257, 5.333062, 5.03606, 5.091018, 5.091018, 5.362849, 5.215528, 5.326257, 6.0830910000000005, 5.545504, 5.855357, 5.470756, 5.470756, 5.741057","-14.935254, -14.1677, -14.1677, -14.82195, -14.82195, -17.822289, -17.822289, -20.759441, -20.759441, -22.371032, -22.371032, -16.205468, -16.205468, -17.822289, -16.205468, -12.941291, -12.941291, -11.869219, -12.941291, -13.176788, -13.176788, -13.927352, -13.176788, -12.315585, -26.275029, -22.371032, -22.371032, -24.772981, -16.205468, -13.176788, -16.484435, -17.822289, -20.879089, -20.759441, -20.759441, -22.448382"
