ast_ID,vals,ra,dec
1,16,"6.7976800000000015, 6.617636, 6.617636, 6.623345, 6.623345, 6.788842, 6.788842, 6.548396, 6.548396, 6.396135, 6.396135, 6.287816, 6.287816, 6.350803, 6.350803, 6.421263, 6.421263, 6.409426, 6.409426, 6.444329, 6.444329, 6.333222, 6.333222, 6.247592, 6.247592, 6.465992, 6.465992, 6.560534, 6.560534, 6.522636, 6.522636, 6.7976800000000015","2.412159, 5.5193900000000005, 5.5193900000000005, 6.135382, 6.135382, 8.037253999999999, 8.037253999999999, 7.332965, 7.332965, 4.592865, 4.592865, 5.100112, 5.100112, 2.568784, 2.568784, -0.945883, -0.945883, -1.41822, -1.41822, -1.507336, -1.507336, -2.944493, -2.944493, -6.274776, -6.274776, -4.762154, -4.762154, -1.2201540000000002, -1.2201540000000002, 2.911297, 2.911297, 2.412159"
2,22,"18.786242, 18.791375, 18.791375, 18.951019, 18.951019, 19.028008, 19.028008, 19.10415, 19.10415, 19.082687, 19.082687, 19.048472, 19.048472, 18.624929, 18.624929, 18.453475, 18.453475, 18.494717, 18.494717, 18.051367000000006, 18.051367000000006, 17.729728, 17.729728, 17.983775, 17.983775, 18.039511, 18.039511, 17.951954, 17.951954, 17.884733999999995, 17.884733999999995, 17.79355, 17.79355, 17.807098999999994, 17.807098999999994, 18.023089, 18.023089, 18.14132, 18.14132, 18.16205, 18.16205, 18.583998, 18.583998, 18.786242","-4.7478669999999985, -5.705147, -5.705147, -5.846314, -5.846314, -5.739115, -5.739115, -4.882554, -4.882554, -4.03142, -4.03142, -3.698987, -3.698987, -2.920029, -2.920029, 0.196108, 0.196108, -1.985308, -1.985308, -8.180349, -8.180349, -7.079608, -7.079608, -9.773632, -9.773632, -12.318373, -12.318373, -13.653238, -13.653238, -13.65023, -13.65023, -14.725824, -14.725824, -16.827184, -16.827184, -17.156868, -17.156868, -16.416665, -16.416665, -13.934435, -13.934435, -10.977206, -10.977206, -4.7478669999999985"
3,12,"0.5499970000000001, 23.500536, 23.500536, 22.829521, 22.829521, 1.430216, 1.430216, 0.5499970000000001, 1.430216, 1.7162, 1.7162, 2.649532, 2.649532, 2.336906, 2.336906, 1.906584, 1.906584, 2.484437, 2.484437, 1.1775790000000002, 1.1775790000000002, 22.82802, 22.82802, 1.430216","62.931783, 58.54892, 58.54892, 55.902777, 55.902777, 60.235283, 60.235283, 62.931783, 60.235283, 61.421073, 61.421073, 62.591508, 62.591508, 64.336949, 64.336949, 63.670101, 63.670101, 67.402474, 67.402474, 68.778621, 68.778621, 66.200408, 66.200408, 60.235283"
4,22,"12.304693, 12.114687, 12.114687, 12.195635, 12.195635, 12.456899, 12.456899, 12.491975, 12.491975, 12.718641, 12.718641, 12.53226, 12.53226, 12.753915, 12.753915, 13.076905, 13.076905, 12.966938, 12.966938, 12.76055, 12.76055, 12.854994, 12.854994, 13.117331, 13.117331, 12.932538, 12.932538, 12.535781, 12.535781, 12.380403, 12.380403, 12.527871, 12.527871, 12.232584, 12.232584, 12.160779, 12.160779, 12.079242, 12.079242, 12.356031, 12.356031, 12.184772, 12.184772, 12.304693","-63.28014200000001, -64.61373, -64.61373, -64.948789, -64.948789, -63.788986, -63.788986, -66.860487, -66.860487, -65.67311099999999, -65.67311099999999, -63.505838, -63.505838, -62.21765799999999, -62.21765799999999, -61.710283, -61.710283, -61.05532, -61.05532, -60.981318, -60.981318, -60.329789, -60.329789, -58.805461, -58.805461, -56.83580600000001, -56.83580600000001, -56.129539, -56.129539, -57.676132, -57.676132, -59.423922, -59.423922, -57.944283, -57.944283, -58.34965500000001, -58.34965500000001, -59.253287, -59.253287, -60.401147, -60.401147, -61.277425, -61.277425, -63.28014200000001"
5,7,"1.430216, 0.945143, 0.945143, 0.5499970000000001, 0.5499970000000001, 0.152887, 0.152887, 0.6751159999999999, 0.6751159999999999, 0.81826, 0.81826, 0.944432, 0.944432, 1.430216","60.235283, 60.71674, 60.71674, 62.931783, 62.931783, 59.14978000000001, 59.14978000000001, 56.53733100000001, 56.53733100000001, 57.815187, 57.815187, 59.18105600000001, 59.18105600000001, 60.235283"
