ast_ID,vals,ra,dec
1,43,"16.09062, 16.005557, 16.113452, 16.005557, 16.005557, 15.980865, 15.980865, 15.948077, 15.948077, 15.849316, 15.849316, 15.585681, 15.585681, 15.20476, 15.20476, 15.291917000000002, 15.291917000000002, 14.376971, 14.376971, 12.76055, 12.76055, 12.443311, 12.443311, 12.619739, 12.619739, 12.771346, 12.771346, 13.135321, 13.135321, 13.400128, 13.400128, 14.754802, 14.754802, 15.919083, 15.919083, 16.257297, 16.257297, 16.82976, 16.82976, 16.977006, 16.977006, 16.993069000000002, 16.993069000000002, 17.530695, 17.530695, 18.184557, 18.184557, 18.113858, 18.184557, 17.963279, 18.184557, 17.946507, 16.993069000000002, 16.971651, 16.971651, 16.909731, 16.909731, 16.864508999999998, 16.864508999999998, 16.83608, 16.83608, 16.598043, 16.598043, 16.490128, 16.490128, 16.353143, 16.353143, 16.005557, 16.909731, 17.202551999999994, 17.202551999999994, 17.621979999999994, 17.621979999999994, 17.793078, 17.793078, 17.708132, 17.793078, 17.560145000000002, 16.199926, 16.113452, 17.830965, 17.793078, 17.793078, 17.714194, 17.708132, 17.560145000000002","-19.805453, -22.62171, -20.669192, -22.62171, -22.62171, -26.114105, -26.114105, -29.214073, -29.214073, -33.627165000000005, -33.627165000000005, -41.166757, -41.166757, -52.099247, -52.099247, -58.801208, -58.801208, -58.459117000000006, -58.459117000000006, -60.981318, -60.981318, -63.09909200000001, -63.09909200000001, -69.135564, -69.135564, -68.10811899999999, -68.10811899999999, -65.306023, -65.306023, -64.535668, -64.535668, -62.875648, -62.875648, -63.43072700000001, -63.43072700000001, -63.68568199999999, -63.68568199999999, -59.041378, -59.041378, -55.990141, -55.990141, -53.160438, -53.160438, -49.876145, -49.876145, -47.51312100000001, -47.51312100000001, -43.425216, -47.51312100000001, -41.716295, -47.51312100000001, -44.342246, -53.160438, -50.641185, -50.641185, -42.361313, -42.361313, -38.04738, -38.04738, -34.293232, -34.293232, -28.216016, -28.216016, -26.432002, -26.432002, -25.592796, -25.592796, -22.62171, -42.361313, -43.239189, -43.239189, -42.997824, -42.997824, -40.126997, -40.126997, -39.029983, -40.126997, -37.103821, -19.460708, -20.669192, -37.043304, -40.126997, -40.126997, -36.94556400000001, -39.029983, -37.103821"
2,22,"5.418851, 5.533445, 5.533445, 5.603559, 5.603559, 5.679313, 5.679313, 5.795941, 5.418851, 5.919529, 4.598677, 5.418851, 4.598677, 4.477705, 4.598677, 4.476943, 4.476943, 4.382247, 4.382247, 4.329889, 4.329889, 4.477705, 4.382247, 3.819373, 4.830669, 4.843534, 4.843534, 4.914924, 4.830669, 4.853434, 4.904193, 4.853434, 5.161654, 5.076153, 5.161654, 5.194879, 4.914924, 5.076153, 5.242298, 5.130829, 5.076153, 4.914924, 4.904193, 5.130829","6.349702, -0.299092, -0.299092, -1.20192, -1.20192, -1.942572, -1.942572, -9.669605, 6.349702, 7.407063000000001, 16.509301, 6.349702, 16.509301, 15.870883, 16.509301, 19.180431, 19.180431, 17.542514, 17.542514, 15.627642000000002, 15.627642000000002, 15.870883, 17.542514, 24.053415, 6.961276, 8.900176, 8.900176, 10.150833, 6.961276, 5.605104, 2.440672, 5.605104, 15.597232, 15.404105, 15.597232, 16.045673, 10.150833, 15.404105, -8.20164, -5.086446, 15.404105, 10.150833, 2.440672, -5.086446"
3,31,"22.180908, 22.82802, 22.180908, 21.75748, 21.75748, 21.30963, 22.180908, 22.486183, 22.486183, 23.110226, 23.110226, 0.152887, 0.152887, 0.6751159999999999, 0.6751159999999999, 0.7010810000000001, 0.7010810000000001, 0.81826, 0.7010810000000001, 23.767234, 23.767234, 23.626056, 23.626056, 22.350428, 22.350428, 21.615827, 21.615827, 21.290265, 21.615827, 21.579596, 21.290265, 21.246517, 1.430216, 0.945143, 21.290265, 20.952893, 20.952893, 20.834695, 20.834695, 20.690532, 20.690532, 20.815637, 20.815637, 21.082184, 21.082184, 20.997098, 21.866954, 22.180908, 21.779891, 21.866954, 21.779891, 20.997098, 0.152887, 0.413193, 0.413193, 0.5499970000000001, 0.5499970000000001, 0.845442, 0.845442, 1.194829, 0.945143, 0.152887","58.201261, 66.200408, 58.201261, 61.12080600000001, 61.12080600000001, 62.585573, 58.201261, 58.415198, 58.415198, 59.41976, 59.41976, 59.14978000000001, 59.14978000000001, 56.53733100000001, 56.53733100000001, 50.512526, 50.512526, 57.815187, 50.512526, 46.420276, 46.420276, 46.458152, 46.458152, 46.536569, 46.536569, 40.413521, 40.413521, 39.394681, 40.413521, 38.534054, 39.394681, 38.045317, 60.235283, 60.71674, 39.394681, 41.167136, 41.167136, 44.059304, 44.059304, 45.280338, 45.280338, 46.114134, 46.114134, 43.927852, 43.927852, 47.520951, 55.796743000000006, 58.201261, 49.30957, 55.796743000000006, 49.30957, 47.520951, 59.14978000000001, 61.831057, 61.831057, 62.931783, 62.931783, 64.24754899999999, 64.24754899999999, 65.018854, 60.71674, 59.14978000000001"
4,42,"12.443311, 12.356031, 12.356031, 12.252427, 12.252427, 12.795359, 12.795359, 12.519429, 12.443311, 12.307298, 12.307298, 12.771346, 12.771346, 13.037759, 13.037759, 12.619739, 12.619739, 12.114687, 12.114687, 12.541134, 12.541134, 11.760141, 11.760141, 11.658227, 11.658227, 10.715949, 10.715949, 10.406592, 10.406592, 10.228961, 10.228961, 10.481274, 10.481274, 9.785036, 9.785036, 9.220041, 9.220041, 9.754117, 9.754117, 10.28472, 10.28472, 9.284838, 9.284838, 9.182804, 9.182804, 8.745059, 8.158876, 8.627399, 8.627399, 8.739987, 8.739987, 9.133268, 9.133268, 9.511674, 9.133268, 9.262522, 9.133268, 9.184556, 9.184556, 9.069248, 9.069248, 9.368562, 9.368562, 9.947708, 8.158876, 8.375471000000001, 8.375471000000001, 8.484653999999999, 8.484653999999999, 8.578778, 8.578778, 8.727853999999999, 8.727853999999999, 8.745059, 8.727853999999999, 9.069248, 9.947708, 10.522775, 10.522775, 11.350117, 11.350117, 12.316608, 12.316608, 12.519429","-63.09909200000001, -60.401147, -60.401147, -58.748928, -58.748928, -59.688764, -59.688764, -57.113212, -63.09909200000001, -64.00307099999999, -64.00307099999999, -68.10811899999999, -68.10811899999999, -71.548855, -71.548855, -69.135564, -69.135564, -64.61373, -64.61373, -72.132988, -72.132988, -66.728763, -66.728763, -65.397766, -65.397766, -64.39445, -64.39445, -74.031612, -74.031612, -70.037903, -70.037903, -64.172278, -64.172278, -65.072007, -65.072007, -69.717208, -69.717208, -62.507903000000006, -62.507903000000006, -61.332304, -61.332304, -59.275229, -59.275229, -58.966896, -58.966896, -54.70882099999999, -47.336588, -42.989081, -42.989081, -42.649276, -42.649276, -43.432589, -43.432589, -40.466769, -43.432589, -37.413144, -43.432589, -44.867902, -44.867902, -47.097737, -47.097737, -55.010668, -55.010668, -54.56779, -47.336588, -48.490381, -48.490381, -47.928923, -47.928923, -49.944203, -49.944203, -49.822802, -49.822802, -54.70882099999999, -49.822802, -47.097737, -54.56779, -53.715484, -53.715484, -54.491019, -54.491019, -55.143002, -55.143002, -57.113212"
5,2,"5.533445, 5.603559, 5.603559, 5.679313","-0.299092, -1.20192, -1.20192, -1.942572"
6,6,"3.819373, 3.79141, 3.79141, 3.772104, 3.772104, 3.763779, 3.79141, 3.747927, 3.763779, 3.75347, 3.763779, 3.765132","24.053415, 24.105137, 24.105137, 23.948358, 23.948358, 24.367748, 24.105137, 24.113339, 24.367748, 24.467278, 24.367748, 24.554511"
7,5,"4.329889, 4.382247, 4.382247, 4.476943, 4.476943, 4.598677, 4.598677, 4.477705, 4.477705, 4.329889","15.627642000000002, 17.542514, 17.542514, 19.180431, 19.180431, 16.509301, 16.509301, 15.870883, 15.870883, 15.627642000000002"
