ast_ID,vals,ra,dec
DNe,8,"3.747927, 3.746726, 3.746726, 3.75347, 3.75347, 3.765132, 3.765132, 3.783166000000001, 3.783166000000001, 3.819782, 3.819782, 3.819373, 3.819373, 3.772104, 3.772104, 3.747927","24.113339, 24.28947, 24.28947, 24.467278, 24.467278, 24.554511, 24.554511, 24.520124, 24.520124, 24.136712, 24.136712, 24.053415, 24.053415, 23.948358, 23.948358, 24.113339"
Elk,7,"13.792354, 13.398747, 13.398747, 12.900472, 12.900472, 12.257086, 12.257086, 11.897168, 11.897168, 11.030677, 11.030677, 11.062155, 11.062155, 12.257086","49.313265, 54.925362, 54.925362, 55.959821, 55.959821, 57.032617, 57.032617, 53.69476, 53.69476, 56.382427, 56.382427, 61.75103299999999, 61.75103299999999, 57.032617"
Kic,4,"5.5905510000000005, 5.5943010000000015, 5.5943010000000015, 5.679313, 5.679313, 5.603559, 5.603559, 5.533445","-5.9099010000000005, -4.856067, -4.856067, -1.942572, -1.942572, -1.20192, -1.20192, -0.299092"
