ast_ID,vals,ra,dec
15,20,"2.2166650000000003, 2.469317, 1.734479, 0.72649, 0.72649, 0.323799, 0.72649, 1.1431639999999998, 1.1431639999999998, 1.40039, 1.40039, 1.857676, 1.857676, 2.432501, 2.432501, 2.659398, 2.659398, 2.735375, 2.735375, 2.534786, 2.534786, 1.734479, 2.322442, 2.659398, 2.322442, 2.658044, 2.658044, 2.721678, 2.721678, 3.039588, 3.039588, 2.99525, 2.99525, 2.749039, 2.749039, 2.469317, 2.469317, 2.597909, 2.597909, 2.721678","8.846717, 8.460054, -15.93748, -17.986604999999994, -17.986604999999994, -8.823921, -17.986604999999994, -10.182264, -10.182264, -8.183257000000001, -8.183257000000001, -10.335038, -10.335038, -12.29048, -12.29048, -11.872156, -11.872156, -13.858695999999998, -13.858695999999998, -15.244677, -15.244677, -15.93748, -2.977643, -11.872156, -2.977643, 0.328511, 0.328511, 3.235818, 3.235818, 4.352884, 4.352884, 8.907364999999997, 8.907364999999997, 10.114146, 10.114146, 8.460054, 8.460054, 5.593246, 5.593246, 3.235818"
16,2,"13.166469, 13.197904, 13.197904, 12.448966","17.529431, 27.878183, 27.878183, 28.268423"
17,9,"18.729706, 18.944582, 18.944582, 18.978721, 18.978721, 19.106971, 19.106971, 19.157869, 19.157869, 19.167154, 19.167154, 19.139156, 19.139156, 19.051907, 19.051907, 18.938044, 18.729706, 18.539257","-38.323441, -37.343241, -37.343241, -37.107357, -37.107357, -37.063437, -37.063437, -37.904474, -37.904474, -39.34079600000001, -39.34079600000001, -40.496703, -40.496703, -42.095105, -42.095105, -42.710676, -38.323441, -39.704001"
18,6,"15.548829, 15.463818, 15.463818, 15.578128, 15.578128, 15.712381, 15.712381, 15.826570000000002, 15.826570000000002, 15.959794, 15.959794, 16.024047","31.359133, 29.105703, 29.105703, 26.714693, 26.714693, 26.295637, 26.295637, 26.068394, 26.068394, 26.87788, 26.87788, 29.851061"
19,6,"12.53451, 12.497739, 12.497739, 12.263437, 12.263437, 12.168746, 12.168746, 12.140225, 12.168746, 12.573121, 12.573121, 12.497739","-16.196007, -16.515432, -16.515432, -17.541929, -17.541929, -22.619766, -22.619766, -24.728875, -22.619766, -23.396759, -23.396759, -16.515432"
20,9,"10.996244, 11.194302, 11.194302, 11.414702, 11.414702, 11.322347, 11.322347, 10.996244, 11.322347, 11.410164, 11.410164, 11.611365, 11.611365, 11.933599, 11.933599, 11.746049, 11.746049, 11.414702","-18.298783, -22.825847, -22.825847, -17.68401, -17.68401, -14.778541, -14.778541, -18.298783, -14.778541, -10.859323, -10.859323, -9.802247, -9.802247, -17.150829, -17.150829, -18.350674, -18.350674, -17.68401"
21,9,"19.28504, 19.495098, 19.495098, 19.749574, 19.749574, 20.370473, 20.370473, 20.690532, 20.370473, 20.770178, 20.770178, 21.215607, 21.215607, 21.73571, 20.370473, 19.938438, 19.938438, 19.512023000000006","53.368459, 51.729779, 51.729779, 45.13081, 45.13081, 40.256679, 40.256679, 45.280338, 40.256679, 33.970256, 33.970256, 30.226916, 30.226916, 28.742632, 40.256679, 35.083424, 35.083424, 27.959681"
22,5,"20.553547, 20.625816, 20.625816, 20.660635, 20.660635, 20.77764, 20.77764, 20.724315, 20.724315, 20.625816","11.303263, 14.595087, 14.595087, 15.912072, 15.912072, 16.124295999999998, 16.124295999999998, 15.074581, 15.074581, 14.595087"
23,14,"17.892134, 17.943437, 17.943437, 17.507213, 17.507213, 17.537767000000002, 17.537767000000002, 17.892134, 17.892134, 19.209225, 19.209225, 19.80285, 19.80285, 18.350736, 18.350736, 17.146448, 17.146448, 16.39986, 16.39986, 16.031532000000002, 16.031532000000002, 15.415494, 15.415494, 14.073165, 14.073165, 12.558058, 12.558058, 11.523407","56.872643, 51.488895, 51.488895, 52.301387, 52.301387, 55.172958, 55.172958, 56.872643, 56.872643, 67.661541, 67.661541, 70.26793, 70.26793, 72.732843, 72.732843, 65.714683, 65.714683, 61.514213, 61.514213, 58.565251, 58.565251, 58.966065, 58.966065, 64.37585, 64.37585, 69.788238, 69.788238, 69.331076"
24,4,"21.172361, 21.241337, 21.241337, 21.381559, 21.381559, 21.263731, 21.263731, 21.172361","10.131579, 10.006981, 10.006981, 6.811139999999999, 6.811139999999999, 5.247845, 5.247845, 10.131579"
