ast_ID,vals,ra,dec
13,10,"16.09062, 16.005557, 16.005557, 15.980865, 16.005557, 16.353143, 16.353143, 16.490128, 16.490128, 16.83608, 16.83608, 16.909731, 16.909731, 17.202551999999994, 17.202551999999994, 17.621979999999994, 17.621979999999994, 17.560145000000002, 17.560145000000002, 17.708132","-19.805453, -22.62171, -22.62171, -26.114105, -22.62171, -25.592796, -25.592796, -26.432002, -26.432002, -34.293232, -34.293232, -42.361313, -42.361313, -43.239189, -43.239189, -42.997824, -42.997824, -37.103821, -37.103821, -39.029983"
14,21,"13.197904, 12.448966, 12.448966, 11.307983, 11.307983, 10.888526, 10.888526, 10.464727, 10.464727, 10.372155, 10.372155, 10.284952, 10.284952, 11.161062, 11.161062, 11.767515, 11.767515, 12.562411, 12.562411, 12.933807, 11.161062, 11.307983, 10.464727, 10.123821, 10.123821, 9.350925, 9.350925, 9.410906, 9.410906, 8.778284, 9.350925, 9.108825, 9.108825, 9.010685, 9.010685, 8.865787, 8.865787, 8.986828, 8.986828, 9.547715, 9.010685, 10.284952","27.878183, 28.268423, 28.268423, 33.094306, 33.094306, 34.214871, 34.214871, 36.707212, 36.707212, 41.499516, 41.499516, 42.914365, 42.914365, 44.498487, 44.498487, 47.779406, 47.779406, 41.35748, 41.35748, 38.31838, 44.498487, 33.094306, 36.707212, 35.244693, 35.244693, 34.392562, 34.392562, 26.182324, 26.182324, 28.759898, 34.392562, 38.452215, 38.452215, 41.782911, 41.782911, 43.726603, 43.726603, 48.041826, 48.041826, 51.6773, 41.782911, 42.914365"
15,4,"2.749039, 2.469317, 2.469317, 2.721678, 2.721678, 3.037992, 3.037992, 2.749039","10.114146, 8.460054, 8.460054, 3.235818, 3.235818, 4.089734, 4.089734, 10.114146"
16,31,"22.675233, 22.508128, 22.508128, 22.166457, 22.166457, 21.744092, 21.744092, 22.116847, 22.116847, 23.062901, 23.062901, 23.422993, 23.422993, 0.139791, 0.139791, 0.220598, 0.220598, 23.665844, 23.665844, 23.079348, 23.079348, 23.062901, 21.744092, 21.74186, 21.74186, 21.36811, 21.36811, 20.973871, 20.973871, 20.625816, 20.625816, 20.660635, 20.660635, 20.77764, 20.77764, 20.724315, 20.724315, 20.625816, 20.973871, 20.984753, 20.984753, 21.263731, 21.263731, 21.736433, 21.736433, 22.169996, 22.169996, 22.589272, 22.589272, 22.360938, 22.360938, 21.525982, 22.169996, 22.691033, 22.691033, 22.778216, 22.778216, 23.079348, 20.971505, 19.846388, 19.846388, 19.770994","44.276305, 43.123376, 43.123376, 33.178224, 33.178224, 25.645036, 25.645036, 25.345112, 25.345112, 28.082789, 28.082789, 23.404101, 23.404101, 29.090432, 29.090432, 15.183596, 15.183596, 5.6262919999999985, 5.6262919999999985, 15.205264, 15.205264, 28.082789, 25.645036, 17.350017, 17.350017, 19.804508, 19.804508, 10.839286, 10.839286, 14.595087, 14.595087, 15.912072, 15.912072, 16.124295999999998, 16.124295999999998, 15.074581, 15.074581, 14.595087, 10.839286, 4.29461, 4.29461, 5.247845, 5.247845, 9.875011, 9.875011, 6.197865, 6.197865, -0.117498, -0.117498, -1.387331, -1.387331, -5.571172, 6.197865, 10.831364, 10.831364, 12.172888, 12.172888, 15.205264, 8.51535, 8.868322000000003, 8.868322000000003, 10.613261"
17,20,"18.834665, 18.61564, 18.834665, 18.908412, 18.908412, 18.746209, 18.746209, 18.61564, 18.61564, 17.888341, 17.888341, 17.93755, 17.93755, 17.004827, 17.004827, 16.688113, 16.688113, 15.959794, 15.959794, 15.712381, 15.712381, 15.578128, 15.578128, 14.856493, 14.856493, 14.749784, 14.749784, 14.534636, 14.534636, 15.032436, 15.032436, 15.529718, 15.529718, 16.820615, 16.820615, 17.507213, 17.507213, 17.943437, 17.943437, 17.888341","33.362667, 38.783692, 33.362667, 36.898613, 36.898613, 37.60511500000001, 37.60511500000001, 38.783692, 38.783692, 40.007959, 40.007959, 37.250539, 37.250539, 30.926405, 30.926405, 31.602726, 31.602726, 26.87788, 26.87788, 26.295637, 26.295637, 26.714693, 26.714693, 19.10046, 19.10046, 27.074222, 27.074222, 38.308253, 38.308253, 40.390566, 40.390566, 40.899332, 40.899332, 45.983323, 45.983323, 52.301387, 52.301387, 51.488895, 51.488895, 40.007959"
18,7,"3.819782, 3.819373, 3.819373, 3.79141, 3.79141, 3.819782, 3.79141, 3.75347, 3.75347, 3.747927, 3.747927, 3.772104, 3.772104, 3.79141","24.136712, 24.053415, 24.053415, 24.105137, 24.105137, 24.136712, 24.105137, 24.467278, 24.467278, 24.113339, 24.113339, 23.948358, 23.948358, 24.105137"
19,1,"7.755277, 7.5766339999999985","28.026199, 31.888276"
20,2,"19.377303, 19.921026, 19.398103, 19.864056","-44.458965, -41.868288, -40.61594, -39.874367"
21,4,"18.978721, 19.106971, 19.106971, 19.157869, 19.157869, 19.167154, 19.167154, 19.051907","-37.107357, -37.063437, -37.063437, -37.904474, -37.904474, -39.34079600000001, -39.34079600000001, -42.095105"
22,4,"4.476943, 4.382247, 4.382247, 4.329889, 4.329889, 4.477705, 4.477705, 4.598677","19.180431, 17.542514, 17.542514, 15.627642000000002, 15.627642000000002, 15.870883, 15.870883, 16.509301"
23,3,"14.261029999999998, 13.911411, 13.911411, 13.792354, 13.792354, 14.261029999999998","19.18241, 18.397717, 18.397717, 49.313265, 49.313265, 19.18241"
24,4,"7.139857000000001, 6.752481, 6.752481, 6.378329, 6.378329, 6.9770970000000005, 6.9770970000000005, 7.139857000000001","-26.3932, -16.716116, -16.716116, -17.955918, -17.955918, -28.972084, -28.972084, -26.3932"
25,4,"9.368562, 8.745059, 8.745059, 8.375236, 8.375236, 9.284838, 9.284838, 9.368562","-55.010668, -54.70882099999999, -54.70882099999999, -59.509483, -59.509483, -59.275229, -59.275229, -55.010668"
26,4,"12.519429, 12.252427, 12.252427, 12.443311, 12.443311, 12.795359, 12.795359, 12.519429","-57.113212, -58.748928, -58.748928, -63.09909200000001, -63.09909200000001, -59.688764, -59.688764, -57.113212"
27,4,"21.898808, 22.137209, 22.137209, 22.809239, 22.809239, 22.487825, 22.487825, 21.898808","-37.364852, -46.960975, -46.960975, -51.316864, -51.316864, -43.495565, -43.495565, -37.364852"
28,4,"8.687586, 8.604845, 8.604845, 8.588735, 8.588735, 8.697245, 8.697245, 8.687586","20.476905, 20.341506, 20.341506, 19.590063, 19.590063, 19.87417, 19.87417, 20.476905"
