ast_ID,vals,ra,dec
1,5,"5.679313, 5.603559, 5.603559, 5.533445, 5.603559, 5.589768, 5.589768, 5.587907, 5.587907, 5.584078","-1.942572, -1.20192, -1.20192, -0.299092, -1.20192, -4.838358, -4.838358, -5.389696, -5.389696, -6.002027"
2,7,"3.819373, 3.783166000000001, 3.783166000000001, 3.765132, 3.765132, 3.75347, 3.75347, 3.746726, 3.746726, 3.747927, 3.747927, 3.772104, 3.772104, 3.819373","24.053415, 24.520124, 24.520124, 24.554511, 24.554511, 24.467278, 24.467278, 24.28947, 24.28947, 24.113339, 24.113339, 23.948358, 23.948358, 24.053415"
3,9,"7.755277, 7.5766339999999985, 7.5766339999999985, 7.1856589999999985, 7.1856589999999985, 6.732202, 6.732202, 6.3826730000000005, 6.3826730000000005, 6.482719, 6.482719, 6.628528, 6.628528, 7.0684809999999985, 7.0684809999999985, 7.598708, 7.598708, 7.755277","28.026199, 31.888276, 31.888276, 30.245163, 30.245163, 25.131124, 25.131124, 22.513586, 22.513586, 20.212133, 20.212133, 16.399252, 16.399252, 20.570297, 20.570297, 26.895741, 26.895741, 28.026199"
4,6,"2.52975, 17.536918, 17.536918, 16.766159, 16.766159, 15.734298999999998, 15.734298999999998, 14.845104999999998, 14.845104999999998, 15.345482999999998, 15.345482999999998, 16.291791","89.26410899999998, 86.58646, 86.58646, 82.037262, 82.037262, 77.794493, 77.794493, 74.155505, 74.155505, 71.834016, 71.834016, 75.75533"
5,12,"17.560145000000002, 17.708132, 17.708132, 17.793078, 17.793078, 17.621979999999994, 17.621979999999994, 17.202551999999994, 17.202551999999994, 16.899924, 16.899924, 16.864508999999998, 16.864508999999998, 16.83608, 16.83608, 16.598043, 16.598043, 16.490128, 16.490128, 16.005557, 16.490128, 15.980865, 16.490128, 16.09062","-37.103821, -39.029983, -39.029983, -40.126997, -40.126997, -42.997824, -42.997824, -43.239189, -43.239189, -42.362025, -42.362025, -38.04738, -38.04738, -34.293232, -34.293232, -28.216016, -28.216016, -26.432002, -26.432002, -22.62171, -26.432002, -26.114105, -26.432002, -19.805453"
