star_ID_pair,culture,ras,decs
"7588, 9007",western,"1.628556, 1.932564","-57.236757, -51.608896"
"9007, 10602",western,"1.932564, 2.275154","-51.608896, -51.512165"
"10602, 11407",western,"2.275154, 2.449755","-51.512165, -47.70384"
"11407, 12413",western,"2.449755, 2.663326","-47.70384, -42.89167"
"12413, 12486",western,"2.663326, 2.677781","-42.89167, -39.855375"
"12486, 13847",western,"2.677781, 2.971023","-39.855375, -40.304672"
"13847, 15510",western,"2.971023, 3.331944","-40.304672, -43.06978400000001"
"15510, 17797",western,"3.331944, 3.809963","-43.06978400000001, -37.620155"
"17797, 17874",western,"3.809963, 3.824237","-37.620155, -36.20025"
"17874, 20042",western,"3.824237, 4.298237","-36.20025, -33.798348"
"20042, 20535",western,"4.298237, 4.400613","-33.798348, -34.016846"
"20535, 21393",western,"4.400613, 4.592512","-34.016846, -30.562341"
"17651, 21393",western,"3.780804, 4.592512","-23.249723, -30.562341"
"16611, 17651",western,"3.563132, 3.780804","-21.632883, -23.249723"
"15474, 16611",western,"3.325278, 3.563132","-21.757864, -21.632883"
"14146, 15474",western,"3.039863, 3.325278","-23.624472, -21.757864"
"12843, 14146",western,"2.7517150000000004, 3.039863","-18.572563, -23.624472"
"12843, 13701",western,"2.7517150000000004, 2.940458","-18.572563, -8.898144"
"13701, 15197",western,"2.940458, 3.263896","-8.898144, -8.81973"
"15197, 16537",western,"3.263896, 3.5488480000000004","-8.81973, -9.458262"
"16537, 17378",western,"3.5488480000000004, 3.720806","-9.458262, -9.763395"
"17378, 21444",western,"3.720806, 4.6053169999999986","-9.763395, -3.352459"
"21444, 22109",western,"4.6053169999999986, 4.758375","-3.352459, -3.254657"
"22109, 22701",western,"4.758375, 4.881575","-3.254657, -5.4526949999999985"
"22701, 23875",western,"4.881575, 5.130829","-5.4526949999999985, -5.086446"
"23875, 23972",western,"5.130829, 5.15244","-5.086446, -8.754081"
"21594, 23972",western,"4.6363400000000015, 5.15244","-14.30402, -8.754081"
"89931, 90496",western,"18.3499, 18.466179","-29.828103, -25.4217"
"89642, 90185",western,"18.293793, 18.402868","-36.761686, -34.384615999999994"
"88635, 90185",western,"18.096803, 18.402868","-30.424091, -34.384615999999994"
"87072, 88635",western,"17.792673999999995, 18.096803","-27.830788, -30.424091"
"88635, 89931",western,"18.096803, 18.3499","-30.424091, -29.828103"
"89931, 90185",western,"18.3499, 18.402868","-29.828103, -34.384615999999994"
"90185, 93506",western,"18.402868, 19.043532","-34.384615999999994, -29.880105"
"92041, 93506",western,"18.76094, 19.043532","-26.990778, -29.880105"
"89931, 92041",western,"18.3499, 18.76094","-29.828103, -26.990778"
"90496, 92041",western,"18.466179, 18.76094","-25.4217, -26.990778"
"89341, 90496",western,"18.229392, 18.466179","-21.058834, -25.4217"
"93506, 93864",western,"19.043532, 19.11567","-29.880105, -27.670423"
"92855, 93864",western,"18.92109, 19.11567","-26.296721999999995, -27.670423"
"92041, 92855",western,"18.76094, 18.92109","-26.990778, -26.296721999999995"
"92855, 93085",western,"18.92109, 18.962167","-26.296721999999995, -21.106654"
"93085, 93683",western,"18.962167, 19.07805","-21.106654, -21.741496"
"93683, 94820",western,"19.07805, 19.293911","-21.741496, -18.952908"
"94820, 95168",western,"19.293911, 19.361211","-18.952908, -17.847197"
"93864, 96406",western,"19.11567, 19.600459","-27.670423, -24.719081"
"96406, 98688",western,"19.600459, 20.044299","-24.719081, -27.709845"
"98412, 98688",western,"19.995605, 20.044299","-35.276305, -27.709845"
"98032, 98412",western,"19.921026, 19.995605","-41.868288, -35.276305"
"95347, 98032",western,"19.398103, 19.921026","-40.61594, -41.868288"
"95294, 98032",western,"19.386976, 19.921026","-44.799778, -41.868288"
"26311, 26727",western,"5.603559, 5.679313","-1.20192, -1.942572"
"25930, 26311",western,"5.533445, 5.603559","-0.299092, -1.20192"
"28691, 29426",western,"6.057601999999998, 6.198999","19.690561, 14.208765"
"29038, 29426",western,"6.126201, 6.198999","14.768472, 14.208765"
"27913, 29038",western,"5.906386, 6.126201","20.276174, 14.768472"
"28614, 29426",western,"6.039722, 6.198999","9.647276, 14.208765"
"27989, 28614",western,"5.919529, 6.039722","7.407063000000001, 9.647276"
"26727, 27989",western,"5.679313, 5.919529","-1.942572, 7.407063000000001"
"26727, 27366",western,"5.679313, 5.795941","-1.942572, -9.669605"
"24436, 27366",western,"5.242298, 5.795941","-8.20164, -9.669605"
"24436, 25930",western,"5.242298, 5.533445","-8.20164, -0.299092"
"25336, 25930",western,"5.418851, 5.533445","6.349702, -0.299092"
"25336, 26207",western,"5.418851, 5.5856330000000005","6.349702, 9.934158"
"26207, 27989",western,"5.5856330000000005, 5.919529","9.934158, 7.407063000000001"
"22449, 25336",western,"4.830669, 5.418851","6.961276, 6.349702"
"22449, 22549",western,"4.830669, 4.853434","6.961276, 5.605104"
"22549, 22730",western,"4.853434, 4.889659","5.605104, 2.508225"
"22730, 23123",western,"4.889659, 4.975806","2.508225, 1.714016"
"22449, 22509",western,"4.830669, 4.843534","6.961276, 8.900176"
"22509, 22845",western,"4.843534, 4.914924","8.900176, 10.150833"
"28614, 29038",western,"6.039722, 6.126201","9.647276, 14.768472"
"10324, 11484",western,"2.2166650000000003, 2.469317","8.846717, 8.460054"
"3419, 8102",western,"0.72649, 1.734479","-17.986604999999994, -15.93748"
"1562, 3419",western,"0.323799, 0.72649","-8.823921, -17.986604999999994"
"3419, 5364",western,"0.72649, 1.1431639999999998","-17.986604999999994, -10.182264"
"5364, 6537",western,"1.1431639999999998, 1.40039","-10.182264, -8.183257000000001"
"6537, 8645",western,"1.40039, 1.857676","-8.183257000000001, -10.335038"
"8645, 11345",western,"1.857676, 2.432501","-10.335038, -12.29048"
"11345, 12390",western,"2.432501, 2.659398","-12.29048, -11.872156"
"12390, 12770",western,"2.659398, 2.735375","-11.872156, -13.858695999999998"
"11783, 12770",western,"2.534786, 2.735375","-15.244677, -13.858695999999998"
"8102, 11783",western,"1.734479, 2.534786","-15.93748, -15.244677"
"10826, 12390",western,"2.322442, 2.659398","-2.977643, -11.872156"
"10826, 12387",western,"2.322442, 2.658044","-2.977643, 0.328511"
"12387, 12706",western,"2.658044, 2.721678","0.328511, 3.235818"
"12706, 14135",western,"2.721678, 3.037992","3.235818, 4.089734"
"13954, 14135",western,"2.99525, 3.037992","8.907364999999997, 4.089734"
"12828, 13954",western,"2.749039, 2.99525","10.114146, 8.907364999999997"
"11484, 12828",western,"2.469317, 2.749039","8.460054, 10.114146"
"11484, 12093",western,"2.469317, 2.597909","8.460054, 5.593246"
"12093, 12706",western,"2.597909, 2.721678","5.593246, 3.235818"
"65378, 67301",western,"13.398747, 13.792354","54.925362, 49.313265"
"62956, 65378",western,"12.900472, 13.398747","55.959821, 54.925362"
"59774, 62956",western,"12.257086, 12.900472","57.032617, 55.959821"
"54061, 59774",western,"11.062155, 12.257086","61.75103299999999, 57.032617"
"53910, 54061",western,"11.030677, 11.062155","56.382427, 61.75103299999999"
"53910, 58001",western,"11.030677, 11.897168","56.382427, 53.69476"
"58001, 59774",western,"11.897168, 12.257086","53.69476, 57.032617"
"57399, 58001",western,"11.767515, 11.897168","47.779406, 53.69476"
"54539, 57399",western,"11.161062, 11.767515","44.498487, 47.779406"
"50372, 54539",western,"10.284952, 11.161062","42.914365, 44.498487"
"50801, 54539",western,"10.372155, 11.161062","41.499516, 44.498487"
"48402, 53910",western,"9.868433, 11.030677","54.06433199999999, 56.382427"
"46853, 48402",western,"9.547715, 9.868433","51.6773, 54.06433199999999"
"44471, 46853",western,"9.060427, 9.547715","47.156525, 51.6773"
"44127, 46853",western,"8.986828, 9.547715","48.041826, 51.6773"
"48319, 48402",western,"9.849867, 9.868433","59.038735, 54.06433199999999"
"41704, 48319",western,"8.504431, 9.849867","60.718169, 59.038735"
"41704, 46733",western,"8.504431, 9.525453","60.718169, 63.061861"
"46733, 54061",western,"9.525453, 11.062155","63.061861, 61.75103299999999"
"4889, 5742",western,"1.046971, 1.229152","31.804263, 24.583713"
"4889, 6193",western,"1.046971, 1.324443","31.804263, 27.264059000000003"
"5742, 6193",western,"1.229152, 1.324443","24.583713, 27.264059000000003"
"5742, 7097",western,"1.229152, 1.524725","24.583713, 15.345823"
"7097, 8198",western,"1.524725, 1.756564","15.345823, 9.157736"
"8198, 9487",western,"1.756564, 2.034117","9.157736, 2.763759"
"8833, 9487",western,"1.892597, 2.034117","3.187536, 2.763759"
"7884, 8833",western,"1.6905259999999998, 1.892597","5.487613, 3.187536"
"7007, 7884",western,"1.503087, 1.6905259999999998","6.14382, 5.487613"
"4906, 7007",western,"1.049058, 1.503087","7.890135000000001, 6.14382"
"3760, 4906",western,"0.804836, 1.049058","7.299927999999999, 7.890135000000001"
"1645, 3760",western,"0.343295, 0.804836","8.190271000000001, 7.299927999999999"
"1645, 118268",western,"0.343295, 23.988525","8.190271000000001, 6.863321000000001"
"116771, 118268",western,"23.665844, 23.988525","5.6262919999999985, 6.863321000000001"
"116771, 116928",western,"23.665844, 23.700779","5.6262919999999985, 1.780041"
"115738, 116928",western,"23.448876, 23.700779","1.255608, 1.780041"
"114971, 115738",western,"23.286094, 23.448876","3.282289, 1.255608"
"114971, 115830",western,"23.286094, 23.466138","3.282289, 6.378992"
"115830, 116771",western,"23.466138, 23.665844","6.378992, 5.6262919999999985"
"86414, 87808",western,"17.657747, 17.93755","46.006332, 37.250539"
"85112, 87808",western,"17.394707999999998, 17.93755","37.145946, 37.250539"
"84606, 85112",western,"17.294517000000006, 17.394707999999998","37.291498, 37.145946"
"84380, 84606",western,"17.250788, 17.294517000000006","36.809162, 37.291498"
"81833, 84380",western,"16.714933, 17.250788","38.922254, 36.809162"
"81126, 81833",western,"16.568384, 16.714933","42.437041, 38.922254"
"79992, 81126",western,"16.329010999999998, 16.568384","46.313366, 42.437041"
"77760, 79992",western,"15.877903, 16.329010999999998","42.451518, 46.313366"
"81693, 81833",western,"16.688113, 16.714933","31.602726, 38.922254"
"80816, 81693",western,"16.503667999999998, 16.688113","21.489613, 31.602726"
"80170, 80816",western,"16.365338, 16.503667999999998","19.15313, 21.489613"
"81693, 83207",western,"16.688113, 17.004827","31.602726, 30.926405"
"83207, 85693",western,"17.004827, 17.512307999999994","30.926405, 26.110645"
"84379, 85693",western,"17.250531, 17.512307999999994","24.839204, 26.110645"
"86974, 87933",western,"17.774319000000006, 17.962744","27.720676, 29.24788"
"87933, 88794",western,"17.962744, 18.125708","29.24788, 28.762488"
"83207, 84380",western,"17.004827, 17.250788","30.926405, 36.809162"
"85693, 86974",western,"17.512307999999994, 17.774319000000006","26.110645, 27.720676"
"42402, 42799",western,"8.645955, 8.720410000000001","3.341435, 3.3986620000000003"
"42313, 42402",western,"8.627602, 8.645955","5.703782, 3.341435"
"42313, 43109",western,"8.627602, 8.779587","5.703782, 6.418809"
"43109, 43234",western,"8.779587, 8.807214","6.418809, 5.837812"
"42799, 43234",western,"8.720410000000001, 8.807214","3.3986620000000003, 5.837812"
"43234, 43813",western,"8.807214, 8.92323","5.837812, 5.945563"
"43813, 45336",western,"8.92323, 9.239405","5.945563, 2.31428"
"45336, 46776",western,"9.239405, 9.533036","2.31428, -1.184664"
"46509, 46776",western,"9.485805, 9.533036","-2.768964, -1.184664"
"46390, 46509",western,"9.45979, 9.485805","-8.658603, -2.768964"
"46390, 48356",western,"9.45979, 9.85797","-8.658603, -14.846603"
"48356, 49841",western,"9.85797, 10.176467","-14.846603, -12.354083"
"49841, 51069",western,"10.176467, 10.434842","-12.354083, -16.836289999999998"
"51069, 52943",western,"10.434842, 10.827079","-16.836289999999998, -16.193648"
"52943, 56343",western,"10.827079, 11.550038","-16.193648, -31.857625"
"56343, 57936",western,"11.550038, 11.881813","-31.857625, -33.908124"
"57936, 64166",western,"11.881813, 13.150909","-33.908124, -23.11807"
"64166, 64962",western,"13.150909, 13.315359","-23.11807, -23.171512"
"33160, 34045",western,"6.903167, 7.062637","-12.038628, -15.633285999999998"
"33347, 34045",western,"6.935617999999999, 7.062637","-17.054242000000002, -15.633285999999998"
"32349, 33347",western,"6.752481, 6.935617999999999","-16.716116, -17.054242000000002"
"32349, 33977",western,"6.752481, 7.050408999999998","-16.716116, -23.833291"
"33977, 34444",western,"7.050408999999998, 7.139857000000001","-23.833291, -26.3932"
"34444, 35037",western,"7.139857000000001, 7.246849","-26.3932, -26.772667"
"35037, 35904",western,"7.246849, 7.401584","-26.772667, -29.303104"
"33579, 33856",western,"6.9770970000000005, 7.028652","-28.972084, -27.93483"
"33856, 34444",western,"7.028652, 7.139857000000001","-27.93483, -26.3932"
"33165, 33856",western,"6.903623, 7.028652","-23.928336, -27.93483"
"31592, 33165",western,"6.6113990000000005, 6.903623","-19.255879, -23.928336"
"31416, 31592",western,"6.5842740000000015, 6.6113990000000005","-22.964793, -19.255879"
"30324, 31592",western,"6.378329, 6.6113990000000005","-17.955918, -19.255879"
"31592, 32349",western,"6.6113990000000005, 6.752481","-19.255879, -16.716116"
"32759, 33579",western,"6.8306830000000005, 6.9770970000000005","-32.508478000000004, -28.972084"
"30122, 33579",western,"6.338553, 6.9770970000000005","-30.063367, -28.972084"
"33160, 33347",western,"6.903167, 6.935617999999999","-12.038628, -17.054242000000002"
"68702, 71683",western,"14.063729, 14.660765","-60.373039, -60.833976"
"66657, 68702",western,"13.664796, 14.063729","-53.466394, -60.373039"
"66657, 68002",western,"13.664796, 13.925667","-53.466394, -47.288375"
"68002, 68282",western,"13.925667, 13.977987","-47.288375, -44.803584"
"67472, 68282",western,"13.826943, 13.977987","-42.473732, -44.803584"
"67464, 67472",western,"13.825078, 13.826943","-41.68770900000001, -42.473732"
"65936, 67464",western,"13.517404999999998, 13.825078","-39.407307, -41.68770900000001"
"65109, 65936",western,"13.343296, 13.517404999999998","-36.71229500000001, -39.407307"
"67464, 68933",western,"13.825078, 14.111395000000002","-41.68770900000001, -36.369954"
"67472, 71352",western,"13.826943, 14.591786","-42.473732, -42.157824"
"71352, 73334",western,"14.591786, 14.986025","-42.157824, -42.104194"
"61932, 68002",western,"12.691971, 13.925667","-48.959888, -47.288375"
"60823, 61932",western,"12.467331, 12.691971","-50.230635, -48.959888"
"59196, 60823",western,"12.13931, 12.467331","-50.722425, -50.230635"
"56480, 59196",western,"11.579355, 12.13931","-54.264091, -50.722425"
"56480, 56561",western,"11.579355, 11.596363","-54.264091, -63.01984100000001"
"31681, 34088",western,"6.628528, 7.0684809999999985","16.399252, 20.570297"
"34088, 35550",western,"7.0684809999999985, 7.335383","20.570297, 21.98232"
"35350, 35550",western,"7.30155, 7.335383","16.540383, 21.98232"
"32362, 35350",western,"6.754824, 7.30155","12.895591, 16.540383"
"35550, 36962",western,"7.335383, 7.598708","21.98232, 26.895741"
"36962, 37740",western,"7.598708, 7.740792999999999","26.895741, 24.397993"
"36962, 37826",western,"7.598708, 7.755277","26.895741, 28.026199"
"36046, 36962",western,"7.428779, 7.598708","27.79808, 26.895741"
"34693, 36046",western,"7.1856589999999985, 7.428779","30.245163, 27.79808"
"34693, 36850",western,"7.1856589999999985, 7.5766339999999985","30.245163, 31.888276"
"33018, 34693",western,"6.879816, 7.1856589999999985","33.961254, 30.245163"
"32246, 34693",western,"6.732202, 7.1856589999999985","25.131124, 30.245163"
"30883, 32246",western,"6.482719, 6.732202","20.212133, 25.131124"
"30343, 32246",western,"6.3826730000000005, 6.732202","22.513586, 25.131124"
"29655, 30343",western,"6.247961, 6.3826730000000005","22.506799, 22.513586"
"28734, 29655",western,"6.068671, 6.247961","23.263341, 22.506799"
"87585, 87833",western,"17.892134, 17.943437","56.872643, 51.488895"
"85670, 87833",western,"17.507213, 17.943437","52.301387, 51.488895"
"85670, 85829",western,"17.507213, 17.537767000000002","52.301387, 55.172958"
"85829, 87585",western,"17.537767000000002, 17.892134","55.172958, 56.872643"
"87585, 94376",western,"17.892134, 19.209225","56.872643, 67.661541"
"94376, 97433",western,"19.209225, 19.80285","67.661541, 70.26793"
"94648, 97433",western,"19.259229, 19.80285","73.355468, 70.26793"
"89937, 94648",western,"18.350736, 19.259229","72.732843, 73.355468"
"83895, 89937",western,"17.146448, 18.350736","65.714683, 72.732843"
"80331, 83895",western,"16.39986, 17.146448","61.514213, 65.714683"
"78527, 80331",western,"16.031532000000002, 16.39986","58.565251, 61.514213"
"75458, 78527",western,"15.415494, 16.031532000000002","58.966065, 58.565251"
"68756, 75458",western,"14.073165, 15.415494","64.37585, 58.966065"
"61281, 68756",western,"12.558058, 14.073165","69.788238, 64.37585"
"56211, 61281",western,"11.523407, 12.558058","69.331076, 69.788238"
"45238, 50099",western,"9.220041, 10.228961","-69.717208, -70.037903"
"50099, 52419",western,"10.228961, 10.715949","-70.037903, -64.39445"
"52419, 52468",western,"10.715949, 10.725639","-64.39445, -60.566619"
"52468, 54463",western,"10.725639, 11.143165","-60.566619, -58.975037"
"53253, 54463",western,"10.891559, 11.143165","-58.853171, -58.975037"
"51232, 53253",western,"10.464649, 10.891559","-58.739403, -58.853171"
"50371, 51232",western,"10.28472, 10.464649","-61.332304, -58.739403"
"45556, 50371",western,"9.284838, 10.28472","-59.275229, -61.332304"
"41037, 42568",western,"8.375236, 8.676953","-59.509483, -59.761003"
"30438, 41037",western,"6.399195, 8.375236","-52.69566, -59.509483"
"45080, 45556",western,"9.182804, 9.284838","-58.966896, -59.275229"
"42568, 45080",western,"8.676953, 9.182804","-59.761003, -58.966896"
"30438, 31685",western,"6.399195, 6.629353","-52.69566, -43.195934"
"39429, 41037",western,"8.059737, 8.375236","-40.003148, -59.509483"
"1067, 113963",western,"0.220598, 23.079348","15.183596, 15.205264"
"112158, 113881",western,"22.716704, 23.062901","30.221245, 28.082789"
"109352, 112158",western,"22.153789, 22.716704","33.172337, 30.221245"
"112748, 113881",western,"22.833385, 23.062901","24.601579, 28.082789"
"112440, 112748",western,"22.775521, 22.833385","23.565654, 24.601579"
"109176, 112440",western,"22.116847, 22.775521","25.345112, 23.565654"
"107354, 109176",western,"21.744092, 22.116847","25.645036, 25.345112"
"112447, 113963",western,"22.778216, 23.079348","12.172888, 15.205264"
"112029, 112447",western,"22.691033, 22.778216","10.831364, 12.172888"
"109427, 112029",western,"22.169996, 22.691033","6.197865, 10.831364"
"107315, 109427",western,"21.736433, 22.169996","9.875011, 6.197865"
"677, 113881",western,"0.139791, 23.062901","29.090432, 28.082789"
"677, 1067",western,"0.139791, 0.220598","29.090432, 15.183596"
"113881, 113963",western,"23.062901, 23.079348","28.082789, 15.205264"
"106278, 109074",western,"21.525982, 22.096399","-5.571172, -0.319851"
"109074, 110395",western,"22.096399, 22.360938","-0.319851, -1.387331"
"110395, 110960",western,"22.360938, 22.480531","-1.387331, -0.019972"
"110960, 111497",western,"22.480531, 22.589272","-0.019972, -0.117498"
"111497, 112961",western,"22.589272, 22.87691","-0.117498, -7.579599000000001"
"112961, 114855",western,"22.87691, 23.264859","-7.579599000000001, -9.087737"
"114855, 115438",western,"23.264859, 23.382842","-9.087737, -20.10058"
"109074, 110003",western,"22.096399, 22.280565","-0.319851, -7.783289999999999"
"109139, 110003",western,"22.107286, 22.280565","-13.869679, -7.783289999999999"
"110003, 111123",western,"22.280565, 22.510782","-7.783289999999999, -10.67795"
"111123, 112716",western,"22.510782, 22.826528","-10.67795, -13.592632"
"112716, 113136",western,"22.826528, 22.910837","-13.592632, -15.82082"
"113136, 114341",western,"22.910837, 23.157443","-15.82082, -21.17241"
"102618, 106278",western,"20.794598, 21.525982","-9.495776, -5.571172"
"28103, 28910",western,"5.940082, 6.10259","-14.1677, -14.935254"
"27288, 28103",western,"5.782595, 5.940082","-14.82195, -14.1677"
"25985, 27288",western,"5.545504, 5.782595","-17.822289, -14.82195"
"24305, 25985",western,"5.215528, 5.545504","-16.205468, -17.822289"
"25985, 27654",western,"5.545504, 5.855357","-17.822289, -20.879089"
"27072, 27654",western,"5.741057, 5.855357","-22.448382, -20.879089"
"25606, 27072",western,"5.470756, 5.741057","-20.759441, -22.448382"
"23685, 25606",western,"5.091018, 5.470756","-22.371032, -20.759441"
"25606, 25985",western,"5.470756, 5.545504","-20.759441, -17.822289"
"24305, 24845",western,"5.215528, 5.326257","-16.205468, -13.176788"
"24305, 24327",western,"5.215528, 5.220522","-16.205468, -12.941291"
"23685, 24305",western,"5.091018, 5.215528","-22.371032, -16.205468"
"24244, 24327",western,"5.204973000000002, 5.220522","-11.869219, -12.941291"
"24845, 24873",western,"5.326257, 5.333062","-13.176788, -12.315585"
"100751, 105858",western,"20.427459, 21.440705","-56.73509, -65.366198"
"102395, 105858",western,"20.749314, 21.440705","-66.203212, -65.366198"
"99240, 102395",western,"20.145157, 20.749314","-66.182068, -66.203212"
"99240, 100751",western,"20.145157, 20.427459","-66.182068, -56.73509"
"98495, 99240",western,"20.009845, 20.145157","-72.910504, -66.182068"
"91792, 98495",western,"18.71726, 20.009845","-71.428113, -72.910504"
"91792, 93015",western,"18.71726, 18.949177","-71.428113, -67.23349499999999"
"93015, 99240",western,"18.949177, 20.145157","-67.23349499999999, -66.182068"
"92609, 93015",western,"18.870288, 18.949177","-62.18759300000001, -67.23349499999999"
"90098, 92609",western,"18.387117, 18.870288","-61.493901, -62.18759300000001"
"88866, 90098",western,"18.143, 18.387117","-63.668553, -61.493901"
"88866, 92609",western,"18.143, 18.870288","-63.668553, -62.18759300000001"
"86929, 88866",western,"17.762221, 18.143","-64.723871, -63.668553"
"77634, 78970",western,"15.849316, 16.121168","-33.627165000000005, -36.755676"
"78384, 78970",western,"16.002036, 16.121168","-38.396706, -36.755676"
"77634, 78384",western,"15.849316, 16.002036","-33.627165000000005, -38.396706"
"76297, 78384",western,"15.585681, 16.002036","-41.166757, -38.396706"
"75141, 76297",western,"15.356201, 15.585681","-40.647518, -41.166757"
"75141, 75177",western,"15.356201, 15.36344","-40.647518, -36.261376"
"73273, 75141",western,"14.975537, 15.356201","-43.13396, -40.647518"
"76297, 76552",western,"15.585681, 15.634232","-41.166757, -42.567348"
"74395, 76552",western,"15.20476, 15.634232","-52.099247, -42.567348"
"71860, 74395",western,"14.698823, 15.20476","-47.3882, -52.099247"
"71536, 74395",western,"14.631454000000002, 15.20476","-49.425828, -52.099247"
"70576, 71860",western,"14.436336, 14.698823","-45.379276, -47.3882"
"71860, 73273",western,"14.698823, 14.975537","-47.3882, -43.13396"
"85927, 86670",western,"17.560145000000002, 17.708132","-37.103821, -39.029983"
"86670, 87073",western,"17.708132, 17.793078","-39.029983, -40.126997"
"86228, 87073",western,"17.621979999999994, 17.793078","-42.997824, -40.126997"
"84143, 86228",western,"17.202551999999994, 17.621979999999994","-43.239189, -42.997824"
"82671, 84143",western,"16.899924, 17.202551999999994","-42.362025, -43.239189"
"82514, 82671",western,"16.864508999999998, 16.899924","-38.04738, -42.362025"
"82396, 82514",western,"16.83608, 16.864508999999998","-34.293232, -38.04738"
"81266, 82396",western,"16.598043, 16.83608","-28.216016, -34.293232"
"80763, 81266",western,"16.490128, 16.598043","-26.432002, -28.216016"
"78401, 80763",western,"16.005557, 16.490128","-22.62171, -26.432002"
"78265, 80763",western,"15.980865, 16.490128","-26.114105, -26.432002"
"78820, 80763",western,"16.09062, 16.490128","-19.805453, -26.432002"
"57380, 60030",western,"11.764322, 12.311199","6.529376, -0.787184"
"60030, 61941",western,"12.311199, 12.694345","-0.787184, -1.449375"
"61941, 65474",western,"12.694345, 13.419883","-1.449375, -11.161322"
"65474, 69427",western,"13.419883, 14.214929","-11.161322, -10.273702"
"69427, 69701",western,"14.214929, 14.266908","-10.273702, -6.000547"
"69701, 71957",western,"14.266908, 14.717673","-6.000547, -5.658207"
"65474, 66249",western,"13.419883, 13.578220000000002","-11.161322, -0.59582"
"66249, 68520",western,"13.578220000000002, 14.027443","-0.59582, 1.544532"
"68520, 72220",western,"14.027443, 14.770812","1.544532, 1.892885"
"63090, 66249",western,"12.926725, 13.578220000000002","3.39747, -0.59582"
"63090, 63608",western,"12.926725, 13.036278","3.39747, 10.95915"
"61941, 63090",western,"12.694345, 12.926725","-1.449375, 3.39747"
"21881, 25428",western,"4.704084, 5.438198000000001","22.956926, 28.60745"
"20889, 21881",western,"4.476943, 4.704084","19.180431, 22.956926"
"21421, 26451",western,"4.598677, 5.627413","16.509301, 21.142549"
"20205, 20455",western,"4.329889, 4.382247","15.627642000000002, 17.542514"
"18724, 20205",western,"4.0113379999999985, 4.329889","12.490347, 15.627642000000002"
"15900, 18724",western,"3.413554, 4.0113379999999985","9.02887, 12.490347"
"20889, 21421",western,"4.476943, 4.598677","19.180431, 16.509301"
"20894, 21421",western,"4.477705, 4.598677","15.870883, 16.509301"
"20205, 20894",western,"4.329889, 4.477705","15.627642000000002, 15.870883"
"20648, 20889",western,"4.424828, 4.476943","17.92791, 19.180431"
"20455, 20648",western,"4.382247, 4.424828","17.542514, 17.92791"
"17847, 20455",western,"3.819373, 4.382247","24.053415, 17.542514"
"77516, 77622",western,"15.827001999999998, 15.846935","-3.4302080000000004, 4.47773"
"77070, 77622",western,"15.737798000000002, 15.846935","6.425627, 4.47773"
"76276, 77070",western,"15.580041, 15.737798000000002","10.538867, 6.425627"
"76276, 77233",western,"15.580041, 15.769793","10.538867, 15.421826"
"77233, 78072",western,"15.769793, 15.940882","15.421826, 15.661617"
"77450, 78072",western,"15.812327, 15.940882","18.141564, 15.661617"
"77233, 77450",western,"15.769793, 15.812327","15.421826, 18.141564"
"89962, 92946",western,"18.355167, 18.936995","-2.898825, 4.203595"
"86565, 89962",western,"17.690243, 18.355167","-12.875307, -2.898825"
"86263, 86565",western,"17.626445, 17.690243","-15.398557, -12.875307"
"84880, 86263",western,"17.347128, 17.626445","-12.846875, -15.398557"
"5165, 5348",western,"1.101407, 1.139742","-46.718414, -55.24576"
"2072, 5165",western,"0.436716, 1.101407","-43.679829, -46.718414"
"2072, 5348",western,"0.436716, 1.139742","-43.679829, -55.24576"
"5165, 7083",western,"1.101407, 1.520851","-46.718414, -49.072702"
"7083, 8837",western,"1.520851, 1.894102","-49.072702, -46.302669"
"5165, 8837",western,"1.101407, 1.894102","-46.718414, -46.302669"
"5165, 6867",western,"1.101407, 1.472759","-46.718414, -43.318234"
"2072, 6867",western,"0.436716, 1.472759","-43.679829, -43.318234"
"2072, 2081",western,"0.436716, 0.4380560000000001","-43.679829, -42.305981"
"765, 2081",western,"0.156836, 0.4380560000000001","-45.747426, -42.305981"
"765, 2072",western,"0.156836, 0.436716","-45.747426, -43.679829"
"17448, 18246",western,"3.738648, 3.9022","32.288248, 31.883635"
"18246, 18614",western,"3.9022, 3.98275","31.883635, 35.791033"
"18532, 18614",western,"3.96423, 3.98275","40.010215, 35.791033"
"17358, 18532",western,"3.715416, 3.96423","47.787551, 40.010215"
"15863, 17358",western,"3.405378, 3.715416","49.86118, 47.787551"
"14328, 15863",western,"3.079942, 3.405378","53.50644000000001, 49.86118"
"13268, 14328",western,"2.844945, 3.079942","55.895496, 53.50644000000001"
"14576, 15863",western,"3.136148, 3.405378","40.955648, 49.86118"
"14354, 14576",western,"3.0862700000000003, 3.136148","38.840274, 40.955648"
"13254, 14354",western,"2.843063, 3.0862700000000003","38.318644, 38.840274"
"54879, 57632",western,"11.237335, 11.817663","15.429570000000002, 14.57206"
"49669, 54879",western,"10.139532, 11.237335","11.967207, 15.429570000000002"
"49583, 49669",western,"10.122209, 10.139532","16.762664, 11.967207"
"49583, 50583",western,"10.122209, 10.332873","16.762664, 19.841489000000006"
"50583, 54872",western,"10.332873, 11.235138","19.841489000000006, 20.523717"
"54872, 57632",western,"11.235138, 11.817663","20.523717, 14.57206"
"50335, 50583",western,"10.278171, 10.332873","23.417311, 19.841489000000006"
"48455, 50335",western,"9.879398, 10.278171","26.006951, 23.417311"
