star,name,ra,dec,culture,total_culture_names,color
47452,Al Sharasif I,9.671768,-14.332292,western,876,#5bc4c7
54879,Chort,11.237335,15.429570000000002,western,876,#5bc4c7
48455,Rasalas,9.879398,26.006951,western,876,#5bc4c7
21248,Beemim,4.55849,-29.766492,western,876,#5bc4c7
23203,Hind's Crimson Star,4.99343,-14.806254999999998,western,876,#5bc4c7
73473,Zuben Elakribi,15.016207999999999,-8.518943,western,876,#5bc4c7
73714,Cornu,15.067839000000001,-25.281965,western,876,#5bc4c7
73714,Zuben Acrabi,15.067839000000001,-25.281965,western,876,#5bc4c7
73714,Brachium,15.067839000000001,-25.281965,western,876,#5bc4c7
74785,Zuben Eschamali,15.283449,-9.382916999999999,western,876,#5bc4c7
74785,Zubeneschamali,15.283449,-9.382916999999999,western,876,#5bc4c7
72622,Zubenelgenubi,14.847976999999998,-16.041778,western,876,#5bc4c7
72622,Zubenelgenubi II,14.847976999999998,-16.041778,western,876,#5bc4c7
72603,Zuben El Genubi,14.844773000000002,-15.997237,western,876,#5bc4c7
72603,Zubenelgenubi,14.844773000000002,-15.997237,western,876,#5bc4c7
72603,Zubenelgenubi I,14.844773000000002,-15.997237,western,876,#5bc4c7
27654,Arsh al Jauzah,5.855357,-20.879089,western,876,#5bc4c7
27072,Kursi al Jabbar,5.741057,-22.448382000000002,western,876,#5bc4c7
25606,Nihal,5.470756,-20.759441,western,876,#5bc4c7
48455,Alshemali,9.879398,26.006951,western,876,#5bc4c7
25985,Arsh,5.545504,-17.822289,western,876,#5bc4c7
25985,Arneb,5.545504,-17.822289,western,876,#5bc4c7
53229,Praecipua,10.888525999999999,34.214871,western,876,#5bc4c7
52123,Klemola's Star,10.648676,10.063473,western,876,#5bc4c7
49583,Al Jabhah,10.122209,16.762664,western,876,#5bc4c7
54951,Zubrah,11.253397,23.095502,western,876,#5bc4c7
46146,Minkarasad,9.410905999999999,26.182323999999998,western,876,#5bc4c7
46146,Al Minlear al Asad,9.410905999999999,26.182323999999998,western,876,#5bc4c7
47908,Ras Elased,9.764188,23.774255,western,876,#5bc4c7
47908,Ras Elased Australis,9.764188,23.774255,western,876,#5bc4c7
47908,Algenubi,9.764188,23.774255,western,876,#5bc4c7
47508,Subra,9.685842999999998,9.892308,western,876,#5bc4c7
48455,Ras Elased Borealis,9.879398,26.006951,western,876,#5bc4c7
47431,Ukdah IV,9.664267,-1.14281,western,876,#5bc4c7
47431,Ukdah,9.664267,-1.14281,western,876,#5bc4c7
42799,Minazal II,8.720410000000001,3.3986620000000003,western,876,#5bc4c7
37826,Pollux,7.755277,28.026199,western,876,#5bc4c7
30343,Tejat Posterior,6.3826730000000005,22.513586,western,876,#5bc4c7
30343,Tejat,6.3826730000000005,22.513586,western,876,#5bc4c7
29655,Praepes,6.247961,22.506798999999997,western,876,#5bc4c7
29655,Tejat Prior,6.247961,22.506798999999997,western,876,#5bc4c7
29655,Propus,6.247961,22.506798999999997,western,876,#5bc4c7
34088,Mekbuda,7.068480999999999,20.570297,western,876,#5bc4c7
32246,Meboula,6.732202,25.131124,western,876,#5bc4c7
32246,Melucta,6.732202,25.131124,western,876,#5bc4c7
32246,Mebsuta,6.732202,25.131124,western,876,#5bc4c7
35550,Wasat,7.335383,21.98232,western,876,#5bc4c7
31681,Almeisan,6.628528,16.399252,western,876,#5bc4c7
31681,Alhena,6.628528,16.399252,western,876,#5bc4c7
37826,Hercules,7.755277,28.026199,western,876,#5bc4c7
36850,Apollo,7.5766339999999985,31.888276,western,876,#5bc4c7
43813,Minazal V,8.92323,5.945563,western,876,#5bc4c7
36850,Castor,7.5766339999999985,31.888276,western,876,#5bc4c7
14879,Fornacis,3.2012490000000002,-28.987617999999998,western,876,#5bc4c7
14879,Dalim,3.2012490000000002,-28.987617999999998,western,876,#5bc4c7
23364,Kursi al Jauzah I,5.023985,-7.173964999999999,western,876,#5bc4c7
20042,Beemim I,4.298237,-33.798348,western,876,#5bc4c7
14293,Aludhi III,3.071254,-7.600857,western,876,#5bc4c7
14168,Aludhi II,3.045076,-7.685472,western,876,#5bc4c7
14060,Aludhi I,3.0194509999999997,-7.6630119999999975,western,876,#5bc4c7
23972,Kursi al Jauzah II,5.15244,-8.754081,western,876,#5bc4c7
21594,Sceptrum,4.6363400000000015,-14.304020000000001,western,876,#5bc4c7
17378,Rana,3.7208059999999996,-9.763395,western,876,#5bc4c7
16537,Ran,3.5488480000000004,-9.458262,western,876,#5bc4c7
21248,Beemim III,4.55849,-29.766492,western,876,#5bc4c7
30343,Calx,6.3826730000000005,22.513586,western,876,#5bc4c7
32362,Alzirr,6.754824,12.895591,western,876,#5bc4c7
32362,Al Zirr,6.754824,12.895591,western,876,#5bc4c7
30883,Nucatai,6.482719,20.212132999999998,western,876,#5bc4c7
43109,Minazal III,8.779587,6.4188089999999995,western,876,#5bc4c7
43109,Ashlesha,8.779587,6.4188089999999995,western,876,#5bc4c7
