num_pairs,star,name,ra,dec,culture,color
16,44248,轩辕,9.010685,41.782911,chinese_medieval,#e36856
16,71683,Centaurus,14.660765,-60.833976,western,#5bc4c7
16,71683,Qanttorus,14.660765,-60.833976,arabic,#7d963a
16,31681,Gemini,6.628528,16.399252,western,#5bc4c7
16,31681,At-Tawa'man,6.628528,16.399252,arabic,#7d963a
15,92175,Eru,18.786242,-4.747866999999999,seleucid,#fdd190
15,3881,Gyu,0.830234,41.078911,korean,#2f8cae
15,106278,Ad-Dalw,21.525982,-5.571172,arabic,#7d963a
15,87585,Draco,17.892134,56.872643000000004,western,#5bc4c7
15,87585,Balaurul,17.892134,56.872643000000004,romanian,#972549
15,87585,Zmej,17.892134,56.872643000000004,belarusian,#a9bbca
15,18246,Barda,3.9022,31.883634999999998,romanian,#972549
15,6732,Shinunutu,1.4449100000000001,19.240422,mulapin,#f38b88
15,92175,Eru,18.786242,-4.747866999999999,mulapin,#f38b88
15,18543,天苑,3.967157,-13.508515,chinese_medieval,#e36856
14,18543,CheonWon,3.967157,-13.508515,korean,#2f8cae
14,89931,Al-Naayem,18.3499,-29.828103000000002,arabic_moon_stations,#7d963a
14,45238,Carina,9.220041,-69.717208,western,#5bc4c7
14,87585,At-Tinneen,17.892134,56.872643000000004,arabic,#7d963a
14,106278,Aquarius,21.525982,-5.571172,western,#5bc4c7
14,28910,Lepus,6.10259,-14.935254,western,#5bc4c7
14,28910,Al-A'rnab,6.10259,-14.935254,arabic,#7d963a
14,8886,Sarva the Elk,1.906584,63.670101,sami,#cdce7b
14,1067,Pegasus,0.220598,15.183596,western,#5bc4c7
14,8796,Bird,1.884696,29.578829,egyptian,#91b6a8
14,30343,Shidallu,6.3826730000000005,22.513586,mulapin,#f38b88
14,94114,鳖,19.157869,-37.904474,chinese_medieval,#e36856
14,48219,天庙,9.830931,-36.268463,chinese_medieval,#e36856
13,1067,Al-Faras Al-A'adham,0.220598,15.183596,arabic,#7d963a
13,100587,Wounded Ibex,20.397671,32.190172,armintxe,#ef9f30
13,78918,UR.IDIM,16.109873999999998,-36.802288,seleucid,#fdd190
13,26727,Nape,5.679313,-1.9425720000000002,dakota,#303258
13,107556,Sukhurmashu,21.784011,-16.127285999999998,seleucid,#fdd190
